GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Fuel Remaining (Calculated from vehicle profile)(%),Engine Load(%),Engine Load(Absolute)(%),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Litres Per 100 Kilometer(Long Term Average)(l/100km),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Actual engine % torque(%),Drivers demand engine % torque(%),Engine reference torque(Nm),CO₂ in g/km (Instantaneous)(g/km),CO₂ in g/km (Average)(g/km),GPS vs OBD Speed difference(km/h),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Engine RPM(rpm),GPS Accuracy(m),GPS Altitude(m),GPS Latitude(°),GPS Longitude(°),GPS Bearing(°),GPS Satellites,Percentage of Idle driving(%),Percentage of Highway driving(%),Percentage of City driving(%),Throttle Position(Manifold)(%),Absolute Throttle Position B(%),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%),Relative Throttle Position(%),Relative Accelerator Pedal Position(%),Ambient air temp(°C),Trip time(whilst stationary)(s),Trip Time(Since journey start)(s),Run time since engine start(s),Trip time(whilst moving)(s),Speed (GPS)(km/h),Speed (OBD)(km/h),Average trip speed(whilst stopped or moving)(km/h),Average trip speed(whilst moving only)(km/h)
Thu Oct 10 12:06:48 GMT+02:00 2019,10-ott-2019 12:06:47.296,13.35828426,42.35184927,11.31,5.36,671.1177978515625,82.0,-0.16871643,7.91586304,5.00791931,-0.0028294,-,-,-,-,17.26305962,-,5.792665,-,-,-,-,-,-,-,-,-,581.02862549,-,5.36000013,671.11779785,42.351848600000004,13.358284,82.0,21,0.0,0.0,100.0,-,-,-,-,-,-,-,-,0.0,0,-,-0.001,40.7159996,48,-,-
Thu Oct 10 12:06:48 GMT+02:00 2019,10-ott-2019 12:06:47.686,13.35828426,42.35184927,11.31,5.36,671.1177978515625,82.0,-0.62361145,7.45378113,5.22340393,-0.03946459,-,-,-,-,17.26305962,-,5.792665,-,-,-,-,-,-,-,8.2840004,0.00625111,581.03485107,-,5.36000013,671.11779785,42.351848600000004,13.358284,82.0,21,0.0,0.0,100.0,-,-,-,-,-,-,-,-,0.0,0,-,0.46399999,40.7159996,49,49,49
Thu Oct 10 12:06:49 GMT+02:00 2019,10-ott-2019 12:06:47.973,13.35841311,42.3518531,11.06,6.432,670.836669921875,87.5,-0.11604309,8.03797913,6.26248169,0.01817677,-,-,-,-,17.26305962,-,5.792665,-,-,-,-,-,-,-,8.2840004,0.01014389,581.03875732,-,6.43200016,670.83666992,42.35185242,13.35841274,87.5,21,0.0,0.0,100.0,-,-,-,-,-,-,-,-,0.0,0,-,0.80299997,39.81600189,49,49,49
Thu Oct 10 12:06:54 GMT+02:00 2019,10-ott-2019 12:06:53.683,13.35922664,42.35155911,15.21,9.648000999999999,672.152587890625,107.9,-1.82550049,4.06599426,6.54978943,-0.00809502,-,94.11764526,-,0,14.37419701,-,6.95676565,-,-,-,-,-,-,-,16.4600029,0.02735639,581.05596924,1958.5,9.64800072,672.15258789,42.35155869,13.35922623,107.90000153,15,0.0,0.0,100.0,-,-,27.84313774,27.05882454,-,-,18.4313736,24,0.0,5,118,5.79799986,54.75600052,53,50.33333206,50.33333206
Thu Oct 10 12:07:11 GMT+02:00 2019,10-ott-2019 12:07:10.366,13.36309463,42.35096227,20.22,4.288,673.144287109375,101.7,1.52638245,7.39393616,5.75012207,-0.00839542,-,3.52941179,-,7.9851408,14.372496599999998,12.52300072,6.95758867,7.9851408,12.52300072,-,-,-,331.23312378,331.23312378,0.16000366,0.02735639,581.05596924,2307.5,4.28800011,673.14428711,42.35096359,13.36309433,101.69999695,16,0.0,0.0,100.0,-,-,23.92156982,21.96078491,-,-,10.58823586,23,0.0,23,118,23.27400017,72.79199219,61,53,53
Thu Oct 10 12:07:17 GMT+02:00 2019,10-ott-2019 12:07:16.638,13.364461499999999,42.35067543,18.76,3.216,672.528564453125,108.9,0.84402466,7.52801514,4.52908325,-0.00553682,-,0,-,181.2480011,14.37287903,0,6.95740366,11.89744377,8.4049921,-,-,-,0,165.61656189,1.18800354,0.02735639,581.05596924,1983,3.21600008,672.52856445,42.35067368,13.3644619,108.90000153,17,0.0,0.0,100.0,-,-,20,19.6078434,-,-,8.23529434,23,0.0,28,141,28.80500031,67.53599548,72,56.79999924,56.79999924
Thu Oct 10 12:07:20 GMT+02:00 2019,10-ott-2019 12:07:18.885,13.365076199999999,42.35047798,18.18,3.216,675.872802734375,114.0,1.52638245,8.11219788,7.00228882,-0.05147232,-,40,-,181.2480011,14.37326145,0,6.95721865,13.20168495,7.57463312,-,-,-,0,110.41104126,0.53600311,0.02735639,581.05596924,1879,3.21600008,675.87280273,42.35047913,13.36507607,114.0,17,0.0,0.0,100.0,-,-,7.84313726,7.84313726,-,-,0,23,0.0,31,144,31.81200027,65.44799805,68,58.66666794,58.66666794
Thu Oct 10 12:07:21 GMT+02:00 2019,10-ott-2019 12:07:20.252,13.36526439,42.35041093,16.78,3.216,676.606201171875,114.9,1.11936951,7.47055054,5.26889038,-0.06691054,2.23626041,0,-,34.92767715,14.37872505,2.86299944,6.95457506,18.63318253,5.36665821,-,-,-,75.72628784,101.73985291,3.44799805,0.06808972,581.09667969,1707,3.21600008,676.60620117,42.35041046,13.36526394,114.90000153,17,0.0,0.0,100.0,-,-,7.84313726,7.84313726,-,-,0,23,0.0,33,146,33.17599869,60.40800095,62,59.1428566,59.1428566
Thu Oct 10 12:07:22 GMT+02:00 2019,10-ott-2019 12:07:21.606,13.36544221,42.35034705,16.31,3.216,676.976806640625,115.0,1.4234314,8.00205994,5.19467163,0.04908894,2.23626041,0,-,181.2480011,14.37910748,0,6.95439005,18.06986618,5.53396034,-,-,-,0,81.39188385,1.40800095,0.09104611,581.11962891,1622.5,3.21600008,676.97680664,42.35034561,13.36544228,115.0,17,0.0,0.0,100.0,-,-,7.84313726,7.84313726,-,-,0,23,0.0,34,147,34.5340004,58.71599579,59,59.125,59.125
Thu Oct 10 12:07:24 GMT+02:00 2019,10-ott-2019 12:07:22.969,13.36577103,42.35019842,15.74,5.36,679.353759765625,117.9,1.39230347,8.25584412,5.62322998,-0.00468508,2.23626041,0,-,181.2480011,14.37948895,0,6.95420551,17.69439125,5.65139103,-,-,-,0,67.8265686,1.10399628,0.112925,581.14154053,1576,5.36000013,679.35375977,42.35019684,13.36577129,117.90000153,14,0.0,0.0,100.0,-,-,7.84313726,7.84313726,-,-,0,23,0.0,35,149,35.89699936,56.66399765,57,58.88888931,58.88888931
Thu Oct 10 12:07:25 GMT+02:00 2019,10-ott-2019 12:07:24.333,13.36595199,42.35015501,15.28,4.288,679.322265625,114.5,0.27900696,8.25823975,5.14199829,-0.01320371,2.23626041,18.03921509,-,181.2480011,14.37987137,0,6.9540205,17.42625427,5.73834848,-,-,-,0,58.13705826,1.66399765,0.134065,581.16265869,1529,4.28800011,679.32226562,42.35015488,13.36595154,114.5,15,0.0,0.0,100.0,-,-,21.56862831,21.17647171,-,-,10.58823586,23,0.0,37,150,37.25699997,55.00799942,55,58.5,58.5
Thu Oct 10 12:07:26 GMT+02:00 2019,10-ott-2019 12:07:25.707,13.36611464,42.35008977,15.09,4.288,679.433837890625,114.9,1.18640137,7.2694396999999995,5.30480957,-0.04396158,2.23406386,87.45098114,-,85.63607788,14.38025284,1.1677078,6.95383596,17.22520447,5.80532503,-,-,-,30.88585091,54.73065948,0.99200058,0.15504709,581.18365479,1539.5,4.28800011,679.43383789,42.35009003,13.36611462,114.90000153,15,0.0,0.0,100.0,-,-,7.84313726,7.84313726,-,-,0,23,0.0,38,151,38.63100052,54.3239975,56,58.27272797,58.27272797
Thu Oct 10 12:07:28 GMT+02:00 2019,10-ott-2019 12:07:26.887,13.36646315,42.35000181,15.11,5.36,680.95361328125,112.8,2.24703979,7.65011597,5.20664978,-0.0368892,2.22822809,0,-,15.63787556,14.38058662,6.39459753,6.95367432,17.04883575,5.86538124,-,-,-,169.13699341,67.44247437,0.66800308,0.17618708,581.20477295,1531,5.36000013,680.95361328,42.35000229,13.36646271,112.80000305,16,0.0,0.0,100.0,-,-,7.84313726,7.84313726,-,-,0,23,0.0,39,152,39.81499863,54.39599609,56,58.08333206,58.08333206
Thu Oct 10 12:07:29 GMT+02:00 2019,10-ott-2019 12:07:28.260,13.36662339,42.34993298,14.68,5.36,681.18212890625,114.5,1.39709473,7.36280823,4.98397827,-0.06355268,2.22822809,0.39215687,-,181.2480011,14.38096809,0,6.95348978,16.92581558,5.90801144,-,-,-,0,60.69822693,1.39599609,0.19438402,581.22302246,1466.5,5.36000013,681.18212891,42.34993362,13.36662292,114.5,16,0.0,0.0,100.0,-,-,7.84313726,7.84313726,-,-,0,23,0.0,41,154,41.18399811,52.84799957,53,57.69230652,57.69230652
Thu Oct 10 12:07:30 GMT+02:00 2019,10-ott-2019 12:07:29.625,13.3667672,42.34987843,14.18,5.36,682.84326171875,114.9,1.50961304,7.72433472,5.75491333,-0.01866578,2.22822809,0.39215687,-,181.2480011,14.38135052,0,6.95330524,16.82520294,5.94334126,-,-,-,0,55.1802063,1.84799957,0.21412958,581.24273682,1407.5,5.36000013,682.84326172,42.34988022,13.36676693,114.90000153,17,0.0,0.0,100.0,-,-,7.84313726,7.84313726,-,-,0,23,0.0,42,155,42.54899979,51.04800034,51,57.2142868,57.2142868
