GPS Time,Device Time,Longitude,Latitude,GPS Speed (Meters/second),Horizontal Dilution of Precision,Altitude,Bearing,G(x),G(y),G(z),G(calibrated),Timing Advance(°),Fuel Remaining (Calculated from vehicle profile)(%),Engine Load(%),Engine Load(Absolute)(%),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Litres Per 100 Kilometer(Long Term Average)(l/100km),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Distance to empty (Estimated)(km),Fuel used (trip)(l),Turbo Pressure Control(psi),Actual engine % torque(%),Drivers demand engine % torque(%),Engine reference torque(Nm),Fuel cost (trip)(cost),CO₂ in g/km (Instantaneous)(g/km),CO₂ in g/km (Average)(g/km),GPS vs OBD Speed difference(km/h),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Distance travelled with MIL/CEL lit(km),Distance travelled since codes cleared(km),Volumetric Efficiency (Calculated)(%),EGR Commanded(%),EGR Error(%),Fuel Rate (direct from ECU)(L/m),Fuel flow rate/minute(cc/min),Fuel flow rate/hour(l/hr),Engine RPM(rpm),GPS Accuracy(m),GPS Altitude(m),GPS Latitude(°),GPS Longitude(°),GPS Bearing(°),GPS Satellites,Fuel Level (From Engine ECU)(%),NOx Post SCR(ppm),NOx Pre SCR(ppm),O2 Sensor1 Equivalence Ratio,O2 Sensor1 Equivalence Ratio(alternate),O2 Sensor2 Equivalence Ratio,O2 Sensor3 Equivalence Ratio,O2 Sensor4 Equivalence Ratio,O2 Sensor5 Equivalence Ratio,O2 Sensor6 Equivalence Ratio,O2 Sensor7 Equivalence Ratio,O2 Sensor8 Equivalence Ratio,O2 Volts Bank 1 sensor 1(V),O2 Volts Bank 1 sensor 2(V),O2 Volts Bank 1 sensor 3(V),O2 Volts Bank 1 sensor 4(V),O2 Volts Bank 2 sensor 1(V),O2 Volts Bank 2 sensor 2(V),Percentage of Idle driving(%),Percentage of Highway driving(%),Percentage of City driving(%),Throttle Position(Manifold)(%),Absolute Throttle Position B(%),Relative Throttle Position(%),Relative Accelerator Pedal Position(%),Fuel pressure(psi),Intake Manifold Pressure(psi),Fuel Rail Pressure(psi),Exhaust Pressure(psi),Turbo Boost & Vacuum Gauge,Driver
Wed Oct 09 10:40:28 GMT+02:00 2019,09-ott-2019 10:40:26.920,13.93121202,42.04817548,0.65,5.36,458.1275634765625,341.8,2.93656921,7.537582400000001,4.69429016,-0.02513075,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.36000013,458.12756348,42.04817581,13.93121243,341.79998779,13,100.0,0,0.0,-,-,-,-,-,-,-,-,0.0,0,-,0.134,2.33999991,5,-,-,,,,,,,,,,,,,,,,,,,,,,,,,Angelo
Wed Oct 09 10:40:28 GMT+02:00 2019,09-ott-2019 10:40:27.195,13.93121202,42.04817548,0.65,5.36,458.1275634765625,341.8,2.29013062,7.66926575,4.41177368,-0.01867867,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.66000009,0.00044458,0.00044458,-,5.36000013,458.12756348,42.04817581,13.93121243,341.79998779,13,45.89041138,0,54.10958862,-,-,-,-,-,-,-,-,0.0,0,-,0.292,2.33999991,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,Angelo
Wed Oct 09 10:40:28 GMT+02:00 2019,09-ott-2019 10:40:27.552,13.93121202,42.04817548,0.65,5.36,458.1275634765625,341.8,2.36195374,7.13056946,4.91215515,-0.01097968,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.66000009,0.00044458,0.00044458,-,5.36000013,458.12756348,42.04817581,13.93121243,341.79998779,13,16.77096367,0,83.22903442,-,-,-,-,-,-,-,14,0.0,0,-,0.79900002,2.33999991,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,Angelo
Wed Oct 09 10:40:28 GMT+02:00 2019,09-ott-2019 10:40:27.824,13.93121202,42.04817548,0.65,5.36,458.1275634765625,341.8,2.56785583,7.77461243,5.01271057,-0.01843568,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.66000009,0.00149125,0.00149125,-,5.36000013,458.12756348,42.04817581,13.93121243,341.79998779,13,14.54940319,0,85.45059967,-,-,-,-,-,-,-,14,0.0,0,-,0.9209999999999999,2.33999991,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,Angelo
Wed Oct 09 10:40:33 GMT+02:00 2019,09-ott-2019 10:40:32.579,13.93116173,42.04828111,0.0,3.216,463.4195556640625,0.0,3.65003967,6.594268799999999,6.00151062,0.01290989,-,30.98039246,-,1.63354874,1.63354874,61.21514511,61.21514511,1.63354874,61.21514511,-,-,-,-,-,0.02400017,0.00253958,0.00253958,795,3.21600008,463.41955566,42.04828262,13.93116188,0.0,17,2.61005068,0,97.38994598,-,-,7.84313726,7.84313726,-,-,0,14,0.0,5,46,5.13399982,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,Angelo
Wed Oct 09 10:40:39 GMT+02:00 2019,09-ott-2019 10:40:38.221,13.93109119,42.0483389,3.05,3.216,462.59991455078125,322.8,3.17118835,7.32688904,5.21621704,0.00381776,100,29.01960754,-,1.62385416,1.62870145,61.58060455,61.39733124,1.62870145,61.39733124,-,-,-,-,-,0,0.00253958,0.00253958,793,3.21600008,462.59991455,42.04833984,13.93109131,322.79998779,15,45.81466293,0,54.18533707,-,-,14.50980377,14.50980377,-,-,0,14,4.97800016,11,52,6.17999983,10.97999954,0,4.5,6,,,,,,,,,,,,,,,,,,,,,,,,,Angelo
Wed Oct 09 10:40:45 GMT+02:00 2019,09-ott-2019 10:40:44.191,13.93084467,42.0484799,5.38,5.36,462.1923828125,317.7,-1.22695923,8.50723267,3.96884155,-0.03391567,100,29.41176605,-,1.95595121,1.73778462,51.12495422,57.54333115,1.73778462,57.54333115,-,-,-,-,-,2.02000046,0.00253958,0.00253958,1539,5.36000013,462.19238281,42.04848099,13.93084431,317.70001221,18,29.762458799999997,0,70.2375412,-,-,20,19.6078434,-,-,12.54901981,14,4.97800016,17,58,12.19799995,19.36800003,13,6.19999981,7.75,,,,,,,,,,,,,,,,,,,,,,,,,Angelo
Wed Oct 09 10:40:48 GMT+02:00 2019,09-ott-2019 10:40:47.240,13.93071171,42.04861099,7.09,5.36,460.096923828125,315.8,0.46095276,8.035583500000001,4.71104431,-0.03032249,100,93.33333588,-,3.04917192,2.06563163,32.79510498,48.41033936,2.06563163,48.41033936,-,-,-,867.42993164,867.42993164,4.63199997,0.00253958,0.00253958,1458,5.36000013,460.09692383,42.04861069,13.93071175,315.79998779,19,24.95728111,0,75.04271698,-,-,19.6078434,18.8235302,-,-,9.8039217,14,4.97800016,20,62,15.50500011,25.52400017,24,9.16666698,11,,,,,,,,,,,,,,,,,,,,,,,,,Angelo
Wed Oct 09 10:40:51 GMT+02:00 2019,09-ott-2019 10:40:50.045,13.930573800000001,42.04887154,9.0,7.504,460.6940307617188,326.6,1.03317261,7.82249451,4.80441284,-0.03038603,99.99169159,67.05882263,-,3.82684493,2.4178741,26.13064384,41.35778427,2.4178741,41.35778427,-,-,-,691.1550293,779.29248047,4.47599983,0.02542209,0.02542208,1811,7.50400019,460.69403076,42.04887009,13.93057346,326.60000610000003,18,21.94839287,0,78.05160522,-,-,19.2156868,18.8235302,-,-,9.4117651,14,4.97800016,23,65,18.31299973,32.39999771,30,12.14285755,14.16666698,,,,,,,,,,,,,,,,,,,,,,,,,Angelo
Wed Oct 09 10:40:52 GMT+02:00 2019,09-ott-2019 10:40:51.876,13.93051308,42.048936100000006,9.04,7.504,461.4569091796875,325.6,1.77058411,8.27738953,5.15637207,-0.06430151,99.98667145,77.64705658,-,7.70035887,3.29828835,12.98613739,30.31812668,3.29828835,30.31812668,-,-,-,343.48312378,634.02270508,0.45600128,0.05319458,0.05319458,1233,7.50400019,461.45690918,42.04893494,13.93051338,325.60000610000003,18,20.35599136,0,79.64401245,-,-,15.29411793,14.90196133,-,-,5.09803915,14,4.97800016,25,67,20.13500023,32.54399872,33,14.75,16.8571434,,,,,,,,,,,,,,,,,,,,,,,,,Angelo
Wed Oct 09 10:40:54 GMT+02:00 2019,09-ott-2019 10:40:53.236,13.93037299,42.04908483,9.33,6.432,461.1337890625,321.4,1.44258118,7.61180115,5.83152771,-0.009590999999999999,99.98352051,33.72549057,-,7.54339218,3.90473175,13.25636005,25.60942078,3.90473175,25.60942078,-,-,-,350.63049316,563.17462158,1.12400055,0.06613347,0.06613347,1300,6.43200016,461.13378906,42.04908371,13.93037319,321.39999389999997,16,19.30367851,0,80.69631958,-,-,7.84313726,7.84313726,-,-,0,14,4.97800016,26,68,21.50399971,33.58799744,35,17,19.125,,,,,,,,,,,,,,,,,,,,,,,,,Angelo
Wed Oct 09 10:40:55 GMT+02:00 2019,09-ott-2019 10:40:54.608,13.93029787,42.04914244,9.38,5.36,461.6168212890625,319.2,2.90304565,7.360412599999999,3.93052673,-0.08041632,99.98094177,10.1960783,-,8.06117821,4.42428732,12.40487671,22.60203934,4.42428732,22.60203934,-,-,-,328.10876465,516.16149902,0.41200256,0.07924347,0.07924347,1298,5.36000013,461.61682129,42.04914093,13.93029785,319.20001221,17,18.35284042,0,81.64716339,-,-,16.07843208,15.68627453,-,-,0,14,4.97800016,27,70,22.87599945,33.76799774,34,18.70000076,20.77777863,,,,,,,,,,,,,,,,,,,,,,,,,Angelo
Wed Oct 09 10:40:57 GMT+02:00 2019,09-ott-2019 10:40:55.978,13.93013025,42.04926516,9.64,5.36,460.6168212890625,317.1,1.73468018,7.66207886,5.17073059,-0.03743464,99.97833252,54.90196228,-,7.75901604,4.79481268,12.88796425,20.85543823,4.79481268,20.85543823,-,-,-,340.88641357,486.94897461,0.44800186,0.09217291,0.09217291,1316.5,5.36000013,460.61682129,42.04926682,13.930129999999998,317.10000610000003,16,17.49366951,0,82.5063324,-,-,14.11764717,13.33333397,-,-,3.52941179,14,4.97800016,29,71,24.24399948,34.70399857,34,20.09090996,22.10000038,,,,,,,,,,,,,,,,,,,,,,,,,Angelo
Wed Oct 09 10:40:58 GMT+02:00 2019,09-ott-2019 10:40:57.358,13.93005948,42.04931883,8.89,5.36,462.123291015625,317.5,0.34603882,8.0068512,5.29762268,-0.02995386,99.97581482,30.58823586,-,7.99919176,5.11525059,12.50100327,19.5489769,5.11525059,19.5489769,-,-,-,330.65130615,464.62072754,0.29600143,0.10528291,0.10528292,1332.5,5.36000013,462.12329102,42.04932022,13.93005943,317.5,16,16.70479012,0,83.29521179,-,-,14.90196133,14.11764717,-,-,3.92156863,14,4.97800016,30,72,25.62400055,32.00400162,35,21.33333397,23.27272797,,,,,,,,,,,,,,,,,,,,,,,,,Angelo
Wed Oct 09 10:40:59 GMT+02:00 2019,09-ott-2019 10:40:58.705,13.929971700000001,42.04937152,9.42,5.36,462.2987060546875,315.8,0.61180115,7.75067139,5.72857666,-0.01303916,99.97324371,38.4313736,-,8.09524918,5.38615942,12.35266781,18.5657177,5.38615942,18.5657177,-,-,-,326.72784424,447.38412476,3.99599838,0.11877291,0.11877292,1343,5.36000013,462.29870605,42.04936981,13.92997169,315.79998779,16,15.99949932,0,84.00050354,-,-,14.50980377,14.11764717,-,-,3.92156863,14,4.97800016,31,74,26.97299957,33.91199875,36,22.46153831,24.33333397,,,,,,,,,,,,,,,,,,,,,,,,,Angelo
Wed Oct 09 10:41:02 GMT+02:00 2019,09-ott-2019 10:41:01.730,13.92971993,42.04956243,10.02,7.504,463.7261962890625,313.9,1.55989075,7.74588013,5.09172058,-0.01541414,99.97065735,36.07843018,-,8.21542835,5.62193203,12.17196655,17.78710938,5.62193203,17.78710938,-,-,-,321.94827271,433.44680786,1.47600174,0.1323629,0.13236292,1374.5,7.50400019,463.72619629,42.04956055,13.92971992,313.89999389999997,11,14.61573696,0,85.38426208,-,-,14.11764717,13.72549057,-,-,3.52941179,14,4.97800016,34,76,29.99799919,36.07200241,36,23.4285717,25.23077011,,,,,,,,,,,,,,,,,,,,,,,,,Angelo
Wed Oct 09 10:41:04 GMT+02:00 2019,09-ott-2019 10:41:03.663,13.92953904,42.04969193,10.2,9.648000999999999,461.87542724609375,311.7,1.24386597,7.76982117,4.66316223,-0.01241734,99.96510315,7.05882359,-,9.05358315,5.88590527,11.04512024,16.98938751,5.88590527,16.98938751,-,-,-,292.14324951,419.31643677,1.29599762,0.1670229,0.16702291,1381.5,9.64800072,461.87542725,42.04969025,13.92953873,311.70001221,11,13.85065556,0,86.1493454,-,-,12.54901981,12.15686321,-,-,1.96078432,15,4.97800016,36,79,31.93000031,36.71999741,36,24.26666641,26,,,,,,,,,,,,,,,,,,,,,,,,,Angelo
Wed Oct 09 10:41:06 GMT+02:00 2019,09-ott-2019 10:41:05.113,13.92933942,42.04987687,10.72,12.864,461.2926025390625,313.0,1.57426453,7.87995911,4.52908325,-0.00987792,99.96199799,18.8235302,-,8.76361084,6.09145546,11.4105835,16.41609573,6.09145546,16.41609573,-,-,-,301.8097229,408.63400269,6.0399971,0.1817061,0.18170612,1341.5,12.86400032,461.29260254,42.04987717,13.92933941,313.0,13,13.32672882,0,86.67327118,-,-,12.54901981,12.15686321,-,-,1.56862748,15,4.97800016,38,80,33.38100052,38.59199905,35,24.9375,26.60000038,,,,,,,,,,,,,,,,,,,,,,,,,Angelo
Wed Oct 09 10:41:07 GMT+02:00 2019,09-ott-2019 10:41:06.488,13.92929104,42.0499653,9.73,10.72,459.8519287109375,315.5,2.37153625,7.55435181,6.59288025,0.01053858,99.95948792,14.11764717,-,8.84273243,6.27487421,11.30848598,15.93624306,6.27487421,15.93624306,-,-,-,299.10925293,399.50695801,3.59199905,0.1958811,0.19588111,1313,10.72000027,459.85192871,42.0499649,13.92929077,315.5,13,12.86555576,0,87.13444519,-,-,7.84313726,7.84313726,-,-,0,15,4.97800016,39,81,34.75600052,35.02799606,35,25.52941132,27.125,,,,,,,,,,,,,,,,,,,,,,,,,Angelo
