GPS Time,Device Time,Longitude,Latitude,GPS Speed (Meters/second),Horizontal Dilution of Precision,Altitude,Bearing,G(x),G(y),G(z),G(calibrated),Timing Advance(°),Fuel Remaining (Calculated from vehicle profile)(%),Engine Load(%),Engine Load(Absolute)(%),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Litres Per 100 Kilometer(Long Term Average)(l/100km),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Distance to empty (Estimated)(km),Fuel used (trip)(l),Turbo Pressure Control(psi),Actual engine % torque(%),Drivers demand engine % torque(%),Engine reference torque(Nm),Fuel cost (trip)(cost),CO₂ in g/km (Instantaneous)(g/km),CO₂ in g/km (Average)(g/km),GPS vs OBD Speed difference(km/h),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Distance travelled with MIL/CEL lit(km),Distance travelled since codes cleared(km),Volumetric Efficiency (Calculated)(%),EGR Commanded(%),EGR Error(%),Fuel Rate (direct from ECU)(L/m),Fuel flow rate/minute(cc/min),Fuel flow rate/hour(l/hr),Engine RPM(rpm),GPS Accuracy(m),GPS Altitude(m),GPS Latitude(°),GPS Longitude(°),GPS Bearing(°),GPS Satellites,Fuel Level (From Engine ECU)(%),NOx Post SCR(ppm),NOx Pre SCR(ppm),O2 Sensor1 Equivalence Ratio,O2 Sensor1 Equivalence Ratio(alternate),O2 Sensor2 Equivalence Ratio,O2 Sensor3 Equivalence Ratio,O2 Sensor4 Equivalence Ratio,O2 Sensor5 Equivalence Ratio,O2 Sensor6 Equivalence Ratio,O2 Sensor7 Equivalence Ratio,O2 Sensor8 Equivalence Ratio,O2 Volts Bank 1 sensor 1(V),O2 Volts Bank 1 sensor 2(V),O2 Volts Bank 1 sensor 3(V),O2 Volts Bank 1 sensor 4(V),O2 Volts Bank 2 sensor 1(V),O2 Volts Bank 2 sensor 2(V),Percentage of Idle driving(%),Percentage of Highway driving(%),Percentage of City driving(%),Throttle Position(Manifold)(%),Absolute Throttle Position B(%),Relative Throttle Position(%),Relative Accelerator Pedal Position(%),Fuel pressure(psi),Intake Manifold Pressure(psi),Fuel Rail Pressure(psi),Exhaust Pressure(psi),Turbo Boost & Vacuum Gauge,Driver
Thu Oct 10 12:32:16 GMT+02:00 2019,10-ott-2019 12:32:15.862,13.58631008,42.3196312,16.61,7.504,937.5562744140624,60.8,-0.06576538,7.55912781,5.62322998,-0.02059823,-,-,-,-,17.47836876,-,5.72130775,-,-,-,-,-,-,-,-,-,596.06072998,-,7.50400019,937.55627441,42.31962967,13.58631039,60.79999924,18,-,-,-,-,-,-,-,-,-,-,-,0.0,0,-,0.0,59.79600143,69,-,-,,,,,,,,,,,,,,,,,,,,,,,,,Angelo
Thu Oct 10 12:32:17 GMT+02:00 2019,10-ott-2019 12:32:16.168,13.58657593,42.31963508,18.13,6.432,937.349853515625,74.5,-0.06097412,7.42506409,4.96961975,-0.00277706,-,-,-,-,17.47836876,-,5.72130775,-,-,-,-,-,-,-,3.73200226,0.006325,596.0670166,-,6.43200016,937.34985352,42.31963348,13.58657551,74.5,17,0,0,100,-,-,-,-,-,-,-,-,0.0,0,-,0.33299999999999996,65.26799774,69,69,69,,,,,,,,,,,,,,,,,,,,,,,,,Angelo
Thu Oct 10 12:32:17 GMT+02:00 2019,10-ott-2019 12:32:16.586,13.58657593,42.31963508,18.13,6.432,937.349853515625,74.5,0.60940552,6.915100099999999,5.26170349,-0.09306377,-,-,-,-,17.47836876,-,5.72130775,-,-,-,-,-,-,-,3.73200226,0.006325,596.0670166,-,6.43200016,937.34985352,42.31963348,13.58657551,74.5,17,0,0,100,-,-,-,-,-,-,-,21,0.0,0,-,0.90100002,65.26799774,69,69,69,,,,,,,,,,,,,,,,,,,,,,,,,Angelo
Thu Oct 10 12:32:25 GMT+02:00 2019,10-ott-2019 12:32:24.210,13.58831998,42.31956278,17.73,8.576,939.66455078125,116.0,-0.39376831,5.20802307,8.9535675,0.04223657,-,87.45098114,-,0,14.55350399,-,6.87105465,-,-,-,-,-,-,-,3.40000153,0.03943403,596.10015869,1492,8.57600021,939.66455078,42.319561,13.58831978,116.0,14,0,0,100,-,-,20.3921566,20,-,-,9.4117651,21,0.0,8,1648,8.18799973,63.8279953,70,69.5,69.5,,,,,,,,,,,,,,,,,,,,,,,,,Angelo
Thu Oct 10 12:32:34 GMT+02:00 2019,10-ott-2019 12:32:33.211,13.58999558,42.31866394,16.38,12.864,938.693115234375,126.8,0.88952637,-0.85888672,10.1027832,0.05653018,-,1.96078432,-,15.90603542,14.5538063,6.28679132,6.87091208,15.90603542,6.28679132,-,-,-,166.2855072,166.2855072,7.94000244,0.03943403,596.10015869,1661.5,12.86400032,938.69311523,42.31866455,13.58999538,126.80000305,12,0,0,100,-,-,7.84313726,7.84313726,-,-,0,21,0.0,17,1657,17.18099976,58.96799469,74,71,71,,,,,,,,,,,,,,,,,,,,,,,,,Angelo
Thu Oct 10 12:32:41 GMT+02:00 2019,10-ott-2019 12:32:39.885,13.59085473,42.31819063,13.05,10.72,936.3668212890624,126.2,1.74664307,-0.20046997,9.81547546,0.05764,-,0,-,181.2480011,14.55413055,0,6.87075853,15.95761108,6.26647186,-,-,-,0,83.1427536,3.7440033,0.03943403,596.10015869,1855.5,10.72000027,936.36682129,42.31819153,13.59085464,126.19999695,13,0,0,100,-,-,7.84313726,7.84313726,-,-,0,21,0.0,24,1664,24.18700027,46.97999954,54,66.75,66.75,,,,,,,,,,,,,,,,,,,,,,,,,Angelo
Thu Oct 10 12:32:43 GMT+02:00 2019,10-ott-2019 12:32:42.561,13.59110406,42.31805554,12.92,9.648000999999999,938.89501953125,129.2,0.47293091,-1.53643799,9.99983215,0.0747497,-,0,-,181.2480011,14.55445576,0,6.87060547,15.97492218,6.25968122,-,-,-,0,55.42850113,1.02000046,0.03943403,596.10015869,1797,9.64800072,938.89501953,42.3180542,13.59110451,129.19999695,12,0,0,100,-,-,7.84313726,7.84313726,-,-,0,21,0.0,26,1668,26.875,46.51199722,48,63,63,,,,,,,,,,,,,,,,,,,,,,,,,Angelo
Thu Oct 10 12:32:45 GMT+02:00 2019,10-ott-2019 12:32:44.163,13.59128943,42.31796815,9.73,11.792,941.06689453125,127.4,0.80093384,-0.5859375,9.983077999999999,0.07425775,-,12.15686321,-,181.2480011,14.55478001,0,6.8704524000000005,15.98366642,6.25625658,-,-,-,0,41.5713768,7.11999893,0.06911805,596.12982178,1359.5,11.79199982,941.06689453,42.31796646,13.59128952,127.40000153,13,0,0,100,-,-,7.84313726,7.84313726,-,-,0,21,0.0,28,1670,28.47299957,35.02799606,35,58.33333206,58.33333206,,,,,,,,,,,,,,,,,,,,,,,,,Angelo
Thu Oct 10 12:32:46 GMT+02:00 2019,10-ott-2019 12:32:45.533,13.59136854,42.31792093,8.38,11.792,939.850830078125,125.8,1.37075806,-0.05921936,10.246444699999998,0.05556799,-,33.33333206,-,181.2480011,14.55510426,0,6.87029886,15.98898506,6.25417566,-,-,-,0,33.25710297,8.02799606,0.082405,596.14312744,865,11.79199982,939.85083008,42.31792068,13.59136868,125.80000305,13,0,0,100,-,-,7.84313726,7.84313726,-,-,0,21,0.0,29,1671,29.84600067,30.16799927,27,53.8571434,53.8571434,,,,,,,,,,,,,,,,,,,,,,,,,Angelo
Thu Oct 10 12:32:48 GMT+02:00 2019,10-ott-2019 12:32:47.177,13.59154208,42.31783418,6.46,11.792,940.352783203125,123.9,0.45378113,-1.47419739,10.76358032,0.12741369,-0.91750109,32.54901886,-,57.39215851,14.5554285,1.74236214,6.8701457999999995,15.99258995,6.25276566,-,-,-,46.0854454,35.39515686,2.2879982,0.09343334,596.1541748,835,11.79199982,940.3527832000001,42.31783295,13.59154224,123.90000153,11,0,0,100,-,-,7.84313726,7.84313726,-,-,0,21,0.0,31,1673,31.48900032,23.25599861,25,50.25,50.25,,,,,,,,,,,,,,,,,,,,,,,,,Angelo
