GPS Time,Device Time,Longitude,Latitude,GPS Speed (Meters/second),Horizontal Dilution of Precision,Altitude,Bearing,G(x),G(y),G(z),G(calibrated),Timing Advance(°),Fuel Remaining (Calculated from vehicle profile)(%),Engine Load(%),Engine Load(Absolute)(%),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Litres Per 100 Kilometer(Long Term Average)(l/100km),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Distance to empty (Estimated)(km),Fuel used (trip)(l),Turbo Pressure Control(psi),Actual engine % torque(%),Drivers demand engine % torque(%),Engine reference torque(Nm),Fuel cost (trip)(cost),CO₂ in g/km (Instantaneous)(g/km),CO₂ in g/km (Average)(g/km),GPS vs OBD Speed difference(km/h),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Distance travelled with MIL/CEL lit(km),Distance travelled since codes cleared(km),Volumetric Efficiency (Calculated)(%),EGR Commanded(%),EGR Error(%),Fuel Rate (direct from ECU)(L/m),Fuel flow rate/minute(cc/min),Fuel flow rate/hour(l/hr),Engine RPM(rpm),GPS Accuracy(m),GPS Altitude(m),GPS Latitude(°),GPS Longitude(°),GPS Bearing(°),GPS Satellites,Fuel Level (From Engine ECU)(%),NOx Post SCR(ppm),NOx Pre SCR(ppm),O2 Sensor1 Equivalence Ratio,O2 Sensor1 Equivalence Ratio(alternate),O2 Sensor2 Equivalence Ratio,O2 Sensor3 Equivalence Ratio,O2 Sensor4 Equivalence Ratio,O2 Sensor5 Equivalence Ratio,O2 Sensor6 Equivalence Ratio,O2 Sensor7 Equivalence Ratio,O2 Sensor8 Equivalence Ratio,O2 Volts Bank 1 sensor 1(V),O2 Volts Bank 1 sensor 2(V),O2 Volts Bank 1 sensor 3(V),O2 Volts Bank 1 sensor 4(V),O2 Volts Bank 2 sensor 1(V),O2 Volts Bank 2 sensor 2(V),Percentage of Idle driving(%),Percentage of Highway driving(%),Percentage of City driving(%),Throttle Position(Manifold)(%),Absolute Throttle Position B(%),Relative Throttle Position(%),Relative Accelerator Pedal Position(%),Fuel pressure(psi),Intake Manifold Pressure(psi),Fuel Rail Pressure(psi),Exhaust Pressure(psi),Turbo Boost & Vacuum Gaugeacuum Gauge(psi),Evap System Vapour Pressure(Pa),Air Fuel Ratio(Commanded)(:1),Air Fuel Ratio(Measured)(:1),Commanded Equivalence Ratio(lambda),Torque(Nm),Engine kW (At the wheels)(kW),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Acceleration Sensor(Total)(g),Run time since engine start(s),Trip time(whilst moving)(s),Voltage (OBD Adapter)(V),Speed (GPS)(km/h),Speed (OBD)(km/h),Average trip speed(whilst stopped or moving)(km/h),Average trip speed(whilst moving only)(km/h)
Wed Dec 18 18:09:51 GMT+01:00 2019,18-dic-2019 18:09:42.289,13.92288344,42.04153267,0.0,24.272,457.0,0.0,2.18548584,8.25582886,3.85632324,-0.02580118,-,-,-,-,-,16.49370956,-,6.06286478,-,-,-,-,-,-,-,-,-,-,-,-,-,1414.26000977,-,-,-,-,-,-,-,-,-,24.27199936,-,-,-,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.23074834,0.82884932,0.30200297,-0.05002178,-,-,-,-,-,-,-
Wed Dec 18 18:09:51 GMT+01:00 2019,18-dic-2019 18:09:42.807,13.92288344,42.04153267,0.0,24.272,457.0,0.0,2.53085327,8.87358093,2.90078735,0.00598878,-,-,-,-,-,16.49370956,-,6.06286478,-,-,-,-,-,-,-,-,-,-,-,15,-,1414.26000977,-,-,-,-,-,-,-,-,-,24.27199936,-,-,-,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.25798708,0.90454441,0.19569698,-0.01366388,-,0,-,-,15,15,15
Wed Dec 18 18:09:54 GMT+01:00 2019,18-dic-2019 18:09:45.766,13.92271273,42.0414889,3.98,12.136,446.0,263.1,2.04629517,8.87078857,4.92829895,-0.01293977,-,-,26.66666794,-,0,13.7337513,-,7.28118038,-,-,-,-,-,-,-,-,-,-,-,2.40799999,0.00851694,1414.26855469,-,-,-,-,-,-,-,-,904,12.13599968,446,42.04148865,13.92271233,263.1000061,13,62.74509811,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,100,-,-,-,-,-,14.64881134,-,-,-0.05118847,-,-,14.50663757,-,-,-,0.17119241,0.90218633,0.34940478,0.0227052,-,2.85599995,-,14.32800007,13,14.66666698,14.66666698
Wed Dec 18 18:09:57 GMT+01:00 2019,18-dic-2019 18:09:48.531,13.92265641,42.04146995,0.2,6.068,445.0,264.7,0.85946655,8.71525574,3.72590637,-0.01281613,-,0,43.52941132,-,34.15966797,13.73419857,2.92736816,7.28094339,34.15966797,2.92736816,0,0.00136238,-,-,-,-,0.00198908,-,-,5.13599968,0.01351472,1414.27355957,-,-,44,-,-,-,-,-,799.5,6.06799984,445,42.04146957,13.92265606,264.70001221,14,62.74509811,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,27.93715858,0,72.06284332,-,-,-,-,-,13.63354778,-,-,-0.43511295,-,-,14.50663757,-,-,-,0.08102401,0.89661634,0.28188035,-0.0217506,-,5.85599995,-,0.71999997,3,11.75,11.75
Wed Dec 18 18:09:59 GMT+01:00 2019,18-dic-2019 18:09:51.186,13.92264957,42.04146587,0.74,6.068,444.0,264.6,2.21420288,8.91386414,3.18832397,0.01007038,-,0,61.96078491,-,2.31063151,13.73394871,43.27730942,7.28107595,18.23514938,5.48380041,0,0.00495639,-,-,-,-,0.00723633,-,-,3.352,0.01630403,1414.27636719,-,-,69,-,-,-,75.42513275,4.52550793,1176.5,6.06799984,444,42.04146576,13.92264938,264.6000061,15,62.74509811,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,46.28993225,0,53.71006775,-,-,-,-,-,15.08392429,-,-,1.01526451,-,-,14.50663757,-,-,-,0.22379711,0.88982844,0.22155137,-0.02741528,-,7.85699987,-,2.66400003,4,10.19999981,10.19999981
Wed Dec 18 18:10:02 GMT+01:00 2019,18-dic-2019 18:09:53.405,13.9226109,42.04148719,2.17,9.101999,446.0,311.8,1.05088806,8.56330872,4.02261353,-0.02540879,-,0,76.07843018,-,1.44859827,13.73367977,69.03081512,7.28121853,12.63963223,7.91145802,0,0.00896899,-,-,-,-,0.01309473,-,-,9.43599987,0.02140167,1414.28149414,-,-,75,6.27450991,-35.9375,-,111.40945435,6.68456745,1664,9.10199928,446,42.04148865,13.92261124,311.79998779,15,62.74509811,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,46.3167572,0,53.6832428,-,-,-,-,-,16.38926506,4559.98632812,-,2.32060432,-,-,14.50663757,-,35.97717285,6.26928997,0.11147315,0.87519342,0.3601777,-0.00459561,-,10.85999966,12.5,7.81200027,13,10.66666698,10.66666698
Wed Dec 18 18:10:04 GMT+01:00 2019,18-dic-2019 18:09:55.606,13.92259984,42.04154402,2.95,12.136,442.0,316.7,0.9172821,8.37866211,4.25431824,-0.01856005,-,0,61.17647171,-,7.6127634,13.73354626,13.13556099,7.2812891,11.38291454,8.78491306,0,0.01102207,-,-,-,-,0.01609222,-,-,10.18799973,0.0309643,1414.29101562,-,-,65,7.84313726,0.78125,-,55.48870087,3.3293221,1166,12.13599968,442,42.04154587,13.92259979,316.70001221,15,61.96078491,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,39.12265778,0,60.87734222,-,-,-,-,-,15.37400055,7183.71923828,-,1.30533981,-,-,14.50663757,-,38.40994644,4.69007969,0.1200918,0.87641287,0.33220792,-0.01512051,-,12.85700035,12.19999981,10.61999989,18,11.71428585,11.71428585
Wed Dec 18 18:10:06 GMT+01:00 2019,18-dic-2019 18:09:57.756,13.92268767,42.04172812,5.83,10.6189995,441.0,19.7,1.06803894,8.24386597,3.80566406,-0.04904395,-,0,24.70588303,-,11.4543314,13.73349571,8.73014069,7.2813158,11.39719868,8.77390385,0,0.01337696,-,-,-,-,0.01953036,230.91204834,230.91204834,11.38000011,0.04311986,1414.30322266,-,-,62,7.05882359,-6.25,-,64.25331879,3.8551991,1449,10.61899948,441,42.04172897,13.92268753,19.70000076,16,61.96078491,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,33.85609436,0,66.14390564,-,-,-,-,-,15.08392429,6864.63623047,-,1.01526451,-,-,14.50663757,-,30.66316986,4.65289688,0.10887247,0.84035325,0.28793719,-0.06772555,-,14.85700035,12.19999981,20.98799896,22,13,13
Wed Dec 18 18:10:08 GMT+01:00 2019,18-dic-2019 18:10:00.021,13.92274013,42.04189723,7.66,12.136,441.0,21.4,1.26304626,7.9120636,3.62620544,-0.03218186,-,0,74.90196228,-,24.73159599,13.73373604,4.04332638,7.28118801,13.61959839,7.34220791,0,0.01664672,-,-,-,-,0.02430421,106.94591522,168.9289856,0.2159996,0.05782666,1414.31787109,-,-,62,8.62745094,-2.34375,-,91.16442108,5.46986532,1778,12.13599968,441,42.04189682,13.92273998,21.39999962,17,61.96078491,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,29.83746529,0,70.16253662,-,-,-,-,-,15.5190382,8104.70898438,-,1.45037746,-,-,14.50663757,-,38.8325119,7.23044825,0.17615268,0.85218388,0.27098611,-0.05369697,-,16.8579998,12.19999981,27.57599831,27,14.55555534,14.55555534
Wed Dec 18 18:10:11 GMT+01:00 2019,18-dic-2019 18:10:02.340,13.92284273,42.04209351,8.92,16.687,440.0,23.2,1.29176331,8.63389587,3.91494751,-0.02031588,-,0,47.84313965,-,8.53108311,13.73362255,11.72159672,7.28124857,12.89266777,7.75618553,0,0.02118978,-,-,-,-,0.03093707,310.03604126,215.96466064,4.75600052,0.08025333,1414.34033203,-,-,61,8.62745094,0,-,104.55825043,6.2734952,2047.5,16.68700027,440,42.04209518,13.92284298,23.20000076,17,61.96078491,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,25.33366966,0,74.66632843,-,-,-,-,-,15.8091135,8104.70898438,-,1.74045277,-,-,14.50663757,-,38.8325119,7.23044825,0.14574398,0.81031168,0.34115165,-0.06562465,-,19.85499954,12.19999981,32.11199951,31,16.20000076,16.20000076
