GPS Time,Device Time,Longitude,Latitude,GPS Speed (Meters/second),Horizontal Dilution of Precision,Altitude,Bearing,G(x),G(y),G(z),G(calibrated),Timing Advance(°),Fuel Remaining (Calculated from vehicle profile)(%),Engine Load(%),Engine Load(Absolute)(%),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Litres Per 100 Kilometer(Long Term Average)(l/100km),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Distance to empty (Estimated)(km),Fuel used (trip)(l),Turbo Pressure Control(psi),Actual engine % torque(%),Drivers demand engine % torque(%),Engine reference torque(Nm),Fuel cost (trip)(cost),CO₂ in g/km (Instantaneous)(g/km),CO₂ in g/km (Average)(g/km),GPS vs OBD Speed difference(km/h),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Distance travelled with MIL/CEL lit(km),Distance travelled since codes cleared(km),Volumetric Efficiency (Calculated)(%),EGR Commanded(%),EGR Error(%),Fuel Rate (direct from ECU)(L/m),Fuel flow rate/minute(cc/min),Fuel flow rate/hour(l/hr),Engine RPM(rpm),GPS Accuracy(m),GPS Altitude(m),GPS Latitude(°),GPS Longitude(°),GPS Bearing(°),GPS Satellites,Fuel Level (From Engine ECU)(%),NOx Post SCR(ppm),NOx Pre SCR(ppm),O2 Sensor1 Equivalence Ratio,O2 Sensor1 Equivalence Ratio(alternate),O2 Sensor2 Equivalence Ratio,O2 Sensor3 Equivalence Ratio,O2 Sensor4 Equivalence Ratio,O2 Sensor5 Equivalence Ratio,O2 Sensor6 Equivalence Ratio,O2 Sensor7 Equivalence Ratio,O2 Sensor8 Equivalence Ratio,O2 Volts Bank 1 sensor 1(V),O2 Volts Bank 1 sensor 2(V),O2 Volts Bank 1 sensor 3(V),O2 Volts Bank 1 sensor 4(V),O2 Volts Bank 2 sensor 1(V),O2 Volts Bank 2 sensor 2(V),Percentage of Idle driving(%),Percentage of Highway driving(%),Percentage of City driving(%),Throttle Position(Manifold)(%),Absolute Throttle Position B(%),Relative Throttle Position(%),Relative Accelerator Pedal Position(%),Fuel pressure(psi),Intake Manifold Pressure(psi),Fuel Rail Pressure(psi),Exhaust Pressure(psi),Turbo Boost & Vacuum Gaugeacuum Gauge(psi),Evap System Vapour Pressure(Pa),Air Fuel Ratio(Commanded)(:1),Air Fuel Ratio(Measured)(:1),Commanded Equivalence Ratio(lambda),Torque(Nm),Engine kW (At the wheels)(kW),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Acceleration Sensor(Total)(g),Run time since engine start(s),Trip time(whilst moving)(s),Voltage (OBD Adapter)(V),Speed (GPS)(km/h),Speed (OBD)(km/h),Average trip speed(whilst stopped or moving)(km/h),Average trip speed(whilst moving only)(km/h)
Tue Dec 17 19:10:50 GMT+01:00 2019,17-dic-2019 19:10:45.912,13.92260633,42.04139981,0.0,16.687,454.0,0.0,0.31111145,9.04226685,2.78353882,-0.01605386,-,0,43.13725662,-,0,13.78696728,-,7.2530756,5.72604895,17.46368599,0,0.04223542,-,-,-,-,0.06166371,-,211.21351624,0,0.03185444,1330.64587402,0,46910,55,12.94117641,-4.6875,-,44.56378555,2.67382717,879,16.68700027,-,-,-,-,18,85.88235474,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,82.7324295,0,17.2675705,-,-,78.4313736,-,-,13.63354778,3567.9284668,-,-0.43511295,-,-,14.50663757,-,-,-,0.01459773,0.92336667,0.1851667,-0.03316104,-,18.13899994,13.89999962,-,0,2.79999995,7.77777767
Tue Dec 17 19:10:53 GMT+01:00 2019,17-dic-2019 19:10:48.154,13.92260026,42.04138823,0.0,7.585,453.0,0.0,0.24928284,9.05743408,2.84495544,-0.017228,-,0,42.74509811,-,0,13.78695202,-,7.25308371,5.71419382,17.49991798,0,0.04378314,-,-,-,-,0.06392339,-,211.21351624,0,0.03185444,1330.64587402,0,46910,55,14.11764717,-0.78125,-,45.05757141,2.70345426,880,7.58500004,453,42.04138947,13.92259979,0,19,85.88235474,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,83.43967438,0,16.56032562,-,-,78.4313736,-,-,13.77858543,3567.9284668,-,-0.2900753,-,-,14.50663757,-,-,-,0.02541109,0.92328578,0.19000565,-0.03157545,66,18.13899994,14,0,0,2.69230771,7.77777767
Tue Dec 17 19:10:55 GMT+01:00 2019,17-dic-2019 19:10:50.302,13.92260447,42.04140275,0.0,6.068,454.0,0.0,0.34938049,9.02153015,2.78791809,-0.01780486,-,0,43.13725662,-,0,13.78693676,-,7.25309229,5.70285606,17.53470802,0,0.04548226,-,-,-,-,0.06640409,-,211.21351624,0,0.03185444,1330.64587402,0,46910,55,13.33333302,0,-,45.73651886,2.74419093,878.5,6.06799984,454,42.04140091,13.92260456,0,19,85.88235474,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,84.0174408,0,15.98255539,-,-,78.4313736,-,-,13.77858543,3604.18774414,-,-0.2900753,-,-,14.50663757,-,-,-,0.02154895,0.92418015,0.19150975,-0.03036435,66,18.13899994,13.89999962,0,0,2.59259248,7.77777767
Tue Dec 17 19:10:57 GMT+01:00 2019,17-dic-2019 19:10:52.453,13.92260279,42.04140468,0.0,6.068,456.0,0.0,0.18986511,9.01235962,2.71374512,-0.01825385,-,0,41.5686264,-,0,13.78692055,-,7.2531004,5.69199371,17.56817055,0,0.04709018,-,-,-,-,0.06875166,-,211.21351624,0,0.03185444,1330.64587402,0,46910,55,14.11764717,0,-,44.87239838,2.69234395,880.5,6.06799984,456,42.04140472,13.92260265,0,19,85.88235474,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,84.55625916,0,15.4437418,-,-,78.4313736,-,-,13.77858543,3567.9284668,-,-0.2900753,-,-,14.50663757,-,-,-,0.01935424,0.91869104,0.17663048,-0.04004083,70,18.13899994,14.10000038,0,0,2.5,7.77777767
Tue Dec 17 19:10:59 GMT+01:00 2019,17-dic-2019 19:10:54.565,13.92260225,42.04139738,0.0,4.5509996,457.0,0.0,0.15916443,9.07098389,2.82740784,-0.0173454,-,0,42.74509811,-,0,13.78690529,-,7.2531085,5.68156862,17.60040665,0,0.04871802,-,-,-,-,0.0711283,-,211.21351624,0,0.03185444,1330.64587402,0,46910,55,13.33333302,-1.5625,-,45.42790604,2.72567439,880,4.55099964,457,42.04139709,13.92260265,0,20,85.88235474,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,85.08303833,0,14.91696548,-,-,78.4313736,-,-,13.77858543,3604.18774414,-,-0.2900753,-,-,14.50663757,-,-,-,0.01711909,0.91987008,0.17451666,-0.03956087,72,18.13899994,14,0,0,2.41379309,7.77777767
Tue Dec 17 19:11:01 GMT+01:00 2019,17-dic-2019 19:10:56.754,13.92260121,42.04139066,0.0,4.5509996,457.0,0.0,0.19584656,9.02711487,2.7061615,-0.02013838,-,0,41.5686264,-,0,13.78689003,-,7.25311661,5.67154837,17.63150215,0,0.05031556,-,-,-,-,0.07346072,-,211.21351624,0,0.03185444,1330.64587402,0,46910,55,13.72549057,-1.5625,-,45.42790222,2.72567415,878,4.55099964,457,42.04138947,13.92260075,0,20,85.88235474,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,85.57823944,0,14.42176056,-,-,78.4313736,-,-,13.63354778,3604.18774414,-,-0.43511295,-,-,14.50663757,-,-,-,0.03488367,0.9197892,0.18691501,-0.03553927,74,18.13899994,14,0,0,2.33333325,7.77777767
Tue Dec 17 19:11:03 GMT+01:00 2019,17-dic-2019 19:10:58.903,13.9226093,42.041406,0.0,4.5509996,458.0,0.0,0.12446594,9.06539917,2.8162384,-0.01647589,-,0,41.5686264,-,0,13.78687382,-,7.25312471,5.6619029,17.66153908,0,0.05197368,-,-,-,-,0.07588158,-,211.21351624,0,0.03185444,1330.64587402,0,46910,55,13.33333302,-0.78125,-,45.42790604,2.72567439,880.5,4.55099964,458,42.04140472,13.92260933,0,19,85.88235474,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,86.05458069,0,13.9454174,-,-,78.8235321,-,-,13.63354778,3567.9284668,-,-0.43511295,-,-,14.50663757,-,-,-,0.01268766,0.92409772,0.18707833,-0.03192377,77,18.13899994,14,0,0,2.25806451,7.77777767
Tue Dec 17 19:11:05 GMT+01:00 2019,17-dic-2019 19:11:01.054,13.92261266,42.04141351,0.0,4.5509996,458.0,0.0,0.31111145,9.02313232,2.77874756,-0.01671922,-,0,42.74509811,-,0,13.78685856,-,7.25313282,5.65260601,17.690588,0,0.05362858,-,-,-,-,0.07829773,-,211.21351624,0,0.03185444,1330.64587402,0,46910,55,13.33333302,-2.34375,-,45.73651505,2.74419093,878,4.55099964,458,42.04141235,13.92261219,0,19,85.88235474,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,86.49847412,0,13.50152493,-,-,78.8235321,-,-,13.63354778,3567.9284668,-,-0.43511295,-,-,14.50663757,-,-,-,0.01602095,0.92450523,0.18634571,-0.03170213,79,18.13899994,13.89999962,0,0,2.1875,7.77777767
Tue Dec 17 19:11:08 GMT+01:00 2019,17-dic-2019 19:11:03.205,13.92261747,42.0414239,0.0,4.5509996,459.0,0.0,0.13044739,9.03071594,2.72969055,-0.01921105,-,0,41.96078491,-,0,13.7868433,-,7.2531414,5.64363337,17.71871376,0,0.05520402,-,-,-,-,0.08059787,-,211.21351624,0,0.03185444,1330.64587402,0,46910,55,14.11764717,-0.78125,-,44.37862015,2.6627171,874,4.55099964,459,42.0414238,13.92261791,0,18,85.88235474,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,86.9720993,0,13.02789879,-,-,78.8235321,-,-,13.77858543,3638.99682617,-,-0.2900753,-,-,14.50663757,-,-,-,0.01329739,0.92056227,0.17825592,-0.03788245,81,18.13899994,13.89999962,0,0,2.12121201,7.77777767
Tue Dec 17 19:11:10 GMT+01:00 2019,17-dic-2019 19:11:05.355,13.92261773,42.04142448,0.0,4.5509996,459.0,0.0,0.30352783,9.06420898,2.91752625,-0.00984687,-,0,41.5686264,-,0,13.78682709,-,7.25314951,5.63496447,17.74597168,0,0.05679119,-,-,-,-,0.08291513,-,211.21351624,0,0.03185444,1330.64587402,0,46910,55,14.11764717,1.5625,-,43.8848381,2.63309026,882,4.55099964,459,42.0414238,13.92261791,0,18,85.88235474,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,87.33218384,0,12.66781902,-,-,78.8235321,-,-,13.63354778,3604.18774414,-,-0.43511295,-,-,14.50663757,-,-,-,0.0117124,0.92133373,0.18106191,-0.03634913,83,18.13899994,14,0,0,2.05882359,7.77777767
