GPS Time,Device Time,Longitude,Latitude,GPS Speed (Meters/second),Horizontal Dilution of Precision,Altitude,Bearing,G(x),G(y),G(z),G(calibrated),Timing Advance(°),Fuel Remaining (Calculated from vehicle profile)(%),Engine Load(%),Engine Load(Absolute)(%),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Litres Per 100 Kilometer(Long Term Average)(l/100km),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Distance to empty (Estimated)(km),Fuel used (trip)(l),Turbo Pressure Control(psi),Actual engine % torque(%),Drivers demand engine % torque(%),Engine reference torque(Nm),Fuel cost (trip)(cost),CO₂ in g/km (Instantaneous)(g/km),CO₂ in g/km (Average)(g/km),GPS vs OBD Speed difference(km/h),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Distance travelled with MIL/CEL lit(km),Distance travelled since codes cleared(km),Volumetric Efficiency (Calculated)(%),EGR Commanded(%),EGR Error(%),Fuel Rate (direct from ECU)(L/m),Fuel flow rate/minute(cc/min),Fuel flow rate/hour(l/hr),Engine RPM(rpm),GPS Accuracy(m),GPS Altitude(m),GPS Latitude(°),GPS Longitude(°),GPS Bearing(°),GPS Satellites,Fuel Level (From Engine ECU)(%),NOx Post SCR(ppm),NOx Pre SCR(ppm),O2 Sensor1 Equivalence Ratio,O2 Sensor1 Equivalence Ratio(alternate),O2 Sensor2 Equivalence Ratio,O2 Sensor3 Equivalence Ratio,O2 Sensor4 Equivalence Ratio,O2 Sensor5 Equivalence Ratio,O2 Sensor6 Equivalence Ratio,O2 Sensor7 Equivalence Ratio,O2 Sensor8 Equivalence Ratio,O2 Volts Bank 1 sensor 1(V),O2 Volts Bank 1 sensor 2(V),O2 Volts Bank 1 sensor 3(V),O2 Volts Bank 1 sensor 4(V),O2 Volts Bank 2 sensor 1(V),O2 Volts Bank 2 sensor 2(V),Percentage of Idle driving(%),Percentage of Highway driving(%),Percentage of City driving(%),Throttle Position(Manifold)(%),Absolute Throttle Position B(%),Relative Throttle Position(%),Relative Accelerator Pedal Position(%),Fuel pressure(psi),Intake Manifold Pressure(psi),Fuel Rail Pressure(psi),Exhaust Pressure(psi),Turbo Boost & Vacuum Gaugeacuum Gauge(psi),Evap System Vapour Pressure(Pa),Air Fuel Ratio(Commanded)(:1),Air Fuel Ratio(Measured)(:1),Commanded Equivalence Ratio(lambda),Torque(Nm),Engine kW (At the wheels)(kW),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Acceleration Sensor(Total)(g),Run time since engine start(s),Trip time(whilst moving)(s),Voltage (OBD Adapter)(V),Speed (GPS)(km/h),Speed (OBD)(km/h),Average trip speed(whilst stopped or moving)(km/h),Average trip speed(whilst moving only)(km/h)
Sun Jan 05 11:15:47 GMT+01:00 2020,05-gen-2020 11:15:46.814,13.90464855,42.07942332,20.86,4.5509996,399.0,317.1,1.10154724,8.88793945,2.61325073,0.07332614,-,0,58.4313736,-,7.49327898,13.68289566,13.34501553,7.30824232,7.53684378,13.26787758,0,0.04595612,-,-,-,-,0.06709594,352.97540283,423.82595825,2.6760025,0.32131696,1914.4354248,-,-,83,9.4117651,-3.125,-,170.98796082,10.25927734,2278.5,4.55099964,399,42.079422,13.90464878,317.1000061,22,23.92156792,-,-,-,1.99996948,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,100,-,-,-,-,-,23.64115143,12960.57226562,-,9.42745304,-,-,28.9995575,-,67.65190125,16.14235878,0.11911654,1.07857859,0.41371721,0.20100413,-,22.19099998,13.80000019,75.09600067,75,53.90909195,53.90909195
Sun Jan 05 11:15:49 GMT+01:00 2020,05-gen-2020 11:15:48.944,13.90438507,42.07975402,20.74,4.5509996,400.0,317.2,0.06065369,9.11047363,2.85971069,0.01254741,-,0,24.31372643,-,13.10531902,13.68288708,7.63033056,7.30824709,8.15556335,12.26131344,0,0.0505834,-,-,-,-,0.07385176,201.82211304,399.15887451,1.52799988,0.36827266,1914.4822998,-,-,83,7.84313726,-32.8125,-,122.79363251,7.36761808,2266,4.55099964,400,42.07975388,13.90438461,317.20001221,22,23.92156792,-,-,-,1.99996948,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,100,-,-,-,-,-,18.12971687,6651.43066406,-,3.91601849,-,-,28.9995575,-,67.65190125,16.14235878,0.00618284,0.92869246,0.19150975,-0.02627861,-,24.26000023,13.80000019,74.66399384,74,55.58333206,55.58333206
Sun Jan 05 11:15:51 GMT+01:00 2020,05-gen-2020 11:15:51.213,13.90413242,42.08007662,20.48,4.5509996,400.0,318.3,1.7164917,9.05184937,3.38970947,0.02949864,-,0,65.49019623,-,46.62653732,13.68290806,2.1446569,7.30823565,8.84512424,11.3054285,0,0.05351489,-,-,-,-,0.07813174,56.72613525,364.91558838,0.87200165,0.41176015,1914.52587891,-,-,78,21.96078491,0.78125,-,82.65490723,4.95929432,2236,4.55099964,400,42.08007812,13.90413284,318.29998779,22,23.92156792,-,-,-,1.95407104,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,100,-,-,-,-,-,16.09918976,8635.546875,-,1.88549137,-,-,28.33403015,-,-,-,0.09874971,1.02040541,0.41420561,0.14729463,-,26.19099998,13.80000019,73.72799683,73,56.92307663,56.92307663
Sun Jan 05 11:15:54 GMT+01:00 2020,05-gen-2020 11:15:53.356,13.90375675,42.08054502,20.37,4.5509996,400.0,320.2,1.50233459,7.08494568,1.92530823,-0.0498317,-,0,66.27451324,-,16.9210701,13.68295956,5.90966892,7.30820847,9.57930088,10.43895721,0,0.05668231,-,-,-,-,0.08275617,156.31063843,345.95150757,0.9280014,0.45738515,1914.57141113,-,-,75,18.03921509,-0.78125,-,84.09073639,5.04544449,2214,4.55099964,400,42.08054352,13.9037571,320.20001221,22,23.92156792,-,-,-,1.88394165,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,100,-,-,-,-,-,16.09918976,8956.08007812,-,1.88549137,-,-,27.31715393,-,-,-,0.15253344,0.89112878,0.128213,-0.06723404,-,29.19199944,13.80000019,73.33200073,73,58.07143021,58.07143021
Sun Jan 05 11:15:56 GMT+01:00 2020,05-gen-2020 11:15:55.612,13.90350346,42.08086606,20.69,6.068,399.0,321.9,1.43055725,8.44407654,2.66470337,-0.01040335,-,0,67.84313965,-,14.59375572,13.68297386,6.85210323,7.30820084,9.99717236,10.0026207,0,0.0602611,-,-,-,-,0.0879812,181.23800659,332.22537231,0.66799927,0.50126058,1914.61535645,-,-,73,11.37254906,16.40625,-,99.87312317,5.99238777,2226.5,6.06799984,399,42.08086777,13.90350342,321.8999939,22,23.92156792,-,-,-,1.99996948,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,100,-,-,-,-,-,17.40452766,12038.13183594,-,3.19082928,-,-,28.9995575,-,17.08520317,3.98364687,0.1339958,0.84746784,0.13162872,-0.11098471,-,31.19199944,13.89999962,74.48400116,74,59.13333511,59.13333511
Sun Jan 05 11:15:58 GMT+01:00 2020,05-gen-2020 11:15:57.762,13.90324055,42.08118631,20.49,6.068,399.0,323.9,1.6734314,8.58883667,4.21165466,0.01534996,-,0,1.56862748,-,9.83016872,13.68291283,10.17255402,7.30823326,9.98432636,10.01549053,0,0.06544361,-,-,-,-,0.09554767,269.06387329,327.36679077,0.51599884,0.54798865,1914.66210938,-,-,74,0,0,-,138.13897705,8.28833866,2295.5,6.06799984,399,42.0811882,13.9032402,323.8999939,22,23.92156792,-,-,-,1.99996948,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,100,-,-,-,-,-,23.06100082,5978.45556641,-,8.84730244,-,-,28.9995575,-,15.9850626,3.84263945,0.17338713,0.97906202,0.25626862,0.05655821,-,33.19200134,13.89999962,73.76399994,75,60.125,60.125
Sun Jan 05 11:16:00 GMT+01:00 2020,05-gen-2020 11:16:00.026,13.90300676,42.08150448,19.61,4.5509996,399.0,325.2,2.25965881,8.6570282,4.00946045,-0.02928141,-,0,0,-,181.2480011,13.68293476,0,7.30822182,10.34624577,9.66514015,0,0.06544361,-,-,-,-,0.09554767,0,303.98345947,2.26000214,0.59178865,1914.70593262,-,-,76,0,0,-,0,0,2176,4.55099964,399,42.08150482,13.90300655,325.20001221,22,23.92156792,-,-,-,1.99996948,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,100,-,-,-,-,-,17.25949097,5836.31835938,-,3.04579258,-,-,28.9995575,-,15.9850626,3.84263945,0.09313927,0.81648982,0.25309864,-0.10526209,-,35.18999863,13.89999962,70.59600067,71,60.76470566,60.76470566
Sun Jan 05 11:16:02 GMT+01:00 2020,05-gen-2020 11:16:02.146,13.90277914,42.08179569,18.19,4.5509996,399.0,325.2,0.83114624,8.46083069,4.56817627,-0.06265125,-,0,0,-,181.2480011,13.68295574,0,7.30821037,10.65991116,9.38074589,0,0.06544361,-,-,-,-,0.09554767,0,283.71789551,3.79599762,0.63428867,1914.74841309,-,-,77,0,20.3125,-,0,0,2004,4.55099964,399,42.08179474,13.90277958,325.20001221,23,23.92156792,-,-,-,1.99996948,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,100,-,-,-,-,-,16.67934036,5447.61767578,-,2.46564198,-,-,28.9995575,-,-,-,0.04155181,0.72319192,0.20651034,-0.21316807,-,37.70800018,13.89999962,65.48400116,65,61,61
Sun Jan 05 11:16:05 GMT+01:00 2020,05-gen-2020 11:16:04.337,13.90245439,42.08220282,17.42,4.5509996,399.0,325.8,1.21640015,9.1966095,3.0511322,-0.04547559,-,0,36.07843018,-,181.2480011,13.68297768,0,7.30819893,10.93437004,9.1452837,0,0.06544361,-,-,-,-,0.09554767,0,265.98553467,0.39599991,0.67179978,1914.78588867,-,-,73,30.98039246,-4.6875,-,0,0,1914,4.55099964,399,42.08220291,13.90245438,325.79998779,22,23.92156792,-,-,-,1.99996948,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,100,-,-,5.88235283,-,-,16.38926506,6155.40136719,-,2.17556667,-,-,28.9995575,-,-,-,0.09009062,0.90491146,0.13528711,-0.06034895,-,40.19100189,13.89999962,62.71199799,63,61.10526276,61.10526276
Sun Jan 05 11:16:07 GMT+01:00 2020,05-gen-2020 11:16:06.662,13.90222392,42.08247684,18.21,4.5509996,398.0,325.3,0.56913757,9.83309937,3.46987915,0.03348442,-,0,82.35294342,-,23.5641861,13.68313313,4.24363995,7.30811596,11.67730045,8.56344509,0,0.06888977,-,-,-,-,0.10057908,112.24420166,256.94192505,1.28800201,0.71037602,1914.82446289,-,-,75,4.70588255,14.0625,-,93.98638153,5.63918304,1932,4.55099964,398,42.08247757,13.90222359,325.29998779,22,23.92156792,-,-,-,1.30578613,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,100,-,-,5.88235283,-,-,16.96941566,14448.65917969,-,2.75571728,-,-,18.93389893,-,16.73305321,3.38548017,0.08191994,0.99003714,0.08125917,0.01016644,-,42.18899918,13.89999962,65.55599213,64,61.25,61.25
