GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Fuel Remaining (Calculated from vehicle profile)(%),Engine Load(%),Engine Load(Absolute)(%),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Litres Per 100 Kilometer(Long Term Average)(l/100km),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Actual engine % torque(%),Drivers demand engine % torque(%),Engine reference torque(Nm),CO₂ in g/km (Instantaneous)(g/km),CO₂ in g/km (Average)(g/km),GPS vs OBD Speed difference(km/h),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Engine RPM(rpm),GPS Accuracy(m),GPS Altitude(m),GPS Latitude(°),GPS Longitude(°),GPS Bearing(°),GPS Satellites,Percentage of Idle driving(%),Percentage of Highway driving(%),Percentage of City driving(%),Throttle Position(Manifold)(%),Absolute Throttle Position B(%),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%),Relative Throttle Position(%),Relative Accelerator Pedal Position(%),Ambient air temp(°C),Trip time(whilst stationary)(s),Trip Time(Since journey start)(s),Run time since engine start(s),Trip time(whilst moving)(s),Speed (GPS)(km/h),Speed (OBD)(km/h),Average trip speed(whilst stopped or moving)(km/h),Average trip speed(whilst moving only)(km/h)
Wed Oct 09 19:22:42 GMT+02:00 2019,09-ott-2019 19:22:42.038,13.93096865,42.04801655,0.0,7.504,459.770263671875,0.0,1.06669617,7.95178223,4.10771179,-0.06219953,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7.50400019,459.77026367,42.04801559,13.93096828,0,8,-,-,-,-,-,-,-,-,-,-,-,0,0,-,0,0,0,-,-
Wed Oct 09 19:22:43 GMT+02:00 2019,09-ott-2019 19:22:42.311,13.93096635,42.04801317,0.0,7.504,459.738525390625,0.0,1.11218262,8.21514893,4.53147888,-0.02835472,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,7.50400019,459.73852539,42.04801178,13.93096638,0,8,-,-,-,-,-,-,-,-,-,-,-,0,0,-,0,0,0,0,-
Wed Oct 09 19:22:43 GMT+02:00 2019,09-ott-2019 19:22:42.580,13.93096635,42.04801317,0.0,7.504,459.738525390625,0.0,1.23188782,8.10980225,4.71583557,-0.02719276,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,7.50400019,459.73852539,42.04801178,13.93096638,0,8,-,-,-,-,-,-,-,-,-,-,-,0,0,-,0,0,0,0,-
Wed Oct 09 19:22:43 GMT+02:00 2019,09-ott-2019 19:22:42.852,13.93096635,42.04801317,0.0,7.504,459.738525390625,0.0,1.29414368,8.23669434,4.86427307,-0.02592343,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,7.50400019,459.73852539,42.04801178,13.93096638,0,8,-,-,-,-,-,-,-,-,-,-,-,0,0,-,0,0,0,0,-
Wed Oct 09 19:22:45 GMT+02:00 2019,09-ott-2019 19:22:44.931,13.93096722,42.04801049,0.0,8.576,459.61761474609375,0.0,1.23667908,7.91108704,4.68710327,-0.02688152,-,31.76470566,-,0,0,-,∞,0,∞,-,-,-,-,-,0,-,-,785,8.57600021,459.61761475,42.04801178,13.93096733,0,8,-,-,-,-,-,-,-,-,-,0,21,0,0,-,0,0,0,0,-
Wed Oct 09 19:22:50 GMT+02:00 2019,09-ott-2019 19:22:49.928,13.93096269,42.04799397,0.0,5.36,460.20672607421875,0.0,1.31089783,7.99487305,4.40698242,-0.04071668,100,30.19607925,-,0,0,-,∞,0,∞,-,-,-,-,-,0,-,-,784.5,5.36000013,460.20672607,42.04799271,13.93096256,0,9,-,-,-,-,-,7.84313726,7.84313726,-,-,0,21,0,0,62,0,0,0,0,-
Wed Oct 09 19:22:56 GMT+02:00 2019,09-ott-2019 19:22:55.564,13.93096592,42.04802597,0.63,6.432,462.3408203125,359.4,1.09303284,8.36837769,4.64639282,-0.02754025,100,32.54901886,-,0,0,-,∞,0,∞,-,-,-,-,-,0.61199999,-,-,786,6.43200016,462.34082031,42.04802704,13.93096638,359.3999939,9,-,-,-,-,-,7.84313726,7.84313726,-,-,0,21,0,0,68,0,2.26799989,0,0,-
Wed Oct 09 19:23:00 GMT+02:00 2019,09-ott-2019 19:23:00.066,13.93095441,42.04803804,0.41,10.72,464.2125244140625,21.0,0.85839844,8.16964722,4.51950073,-0.02557811,100,31.37254906,-,1.0123471,0.25308678,98.77828979,395.11315918,0.25308678,395.11315918,-,-,-,-,-,1.26799989,-,-,797,10.72000027,464.21252441,42.04803848,13.93095398,21,9,100,0,0,-,-,7.84313726,7.84313726,-,-,0,21,0,3,73,3.14599991,1.47599995,1,0.14285715,1
Wed Oct 09 19:23:03 GMT+02:00 2019,09-ott-2019 19:23:02.080,13.93093732,42.04803803,0.0,9.648001,462.2833251953125,0.0,1.03317261,7.61419678,5.01031494,-0.02299065,99.99555206,60,-,0.4399026,0.29044995,227.3183136,344.28625488,0.29044995,344.28625488,-,-,-,-,-,0.972,-,-,795.5,9.64800072,462.2833252,42.04803848,13.93093777,0,10,100,0,0,-,-,7.84313726,7.84313726,-,-,0,21,1.77100003,6,76,4.38800001,0,0,0.125,1
Wed Oct 09 19:23:04 GMT+02:00 2019,09-ott-2019 19:23:03.165,13.93093386,42.04803581,0.0,9.648001,461.9686279296875,0.0,0.89431763,7.93023682,4.70146179,-0.02591763,99.99298096,23.52941132,-,0,0.2881448,-,347.04052734,0.2881448,347.04052734,-,-,-,-,-,2,-,-,833,9.64800072,461.96862793,42.04803467,13.93093395,0,10,100,0,0,-,-,7.84313726,7.84313726,-,-,0,21,2.01099992,7,77,5.22900009,0,2,0.33333334,1.5
