GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Fuel Remaining (Calculated from vehicle profile)(%),Engine Load(%),Engine Load(Absolute)(%),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Litres Per 100 Kilometer(Long Term Average)(l/100km),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Actual engine % torque(%),Drivers demand engine % torque(%),Engine reference torque(Nm),CO₂ in g/km (Instantaneous)(g/km),CO₂ in g/km (Average)(g/km),GPS vs OBD Speed difference(km/h),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Engine RPM(rpm),GPS Accuracy(m),GPS Altitude(m),GPS Latitude(°),GPS Longitude(°),GPS Bearing(°),GPS Satellites,Percentage of Idle driving(%),Percentage of Highway driving(%),Percentage of City driving(%),Throttle Position(Manifold)(%),Absolute Throttle Position B(%),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%),Relative Throttle Position(%),Relative Accelerator Pedal Position(%),Ambient air temp(°C),Trip time(whilst stationary)(s),Trip Time(Since journey start)(s),Run time since engine start(s),Trip time(whilst moving)(s),Speed (GPS)(km/h),Speed (OBD)(km/h),Average trip speed(whilst stopped or moving)(km/h),Average trip speed(whilst moving only)(km/h)
Sat Sep 28 09:31:03 GMT+02:00 2019,28-set-2019 09:31:03.451,13.39527173,42.356506,8.55,16.08,710.130126953125,90.2,0.94459534,7.94219971,5.05580139,-0.02956386,-,-,-,-,19.48316383,-,5.1325922,-,-,-,-,-,-,-,-,-,139.82933044,-,16.07999992,710.13012695,42.35650635,13.3952713,90.19999695,7,-,-,-,-,-,-,-,-,-,-,-,0,0,-,0,30.78000069,44,-,-
Sat Sep 28 09:31:04 GMT+02:00 2019,28-set-2019 09:31:03.798,13.39539079,42.35650907,8.91,15.008,708.754150390625,89.2,1.91424561,7.84403992,4.23937988,-0.01022418,-,-,-,-,19.48316383,-,5.1325922,-,-,-,-,-,-,-,12.92399979,0.00563667,139.8349762,-,15.00800037,708.75415039,42.35651016,13.39539051,89.19999695,7,0,0,100,-,-,-,-,-,-,-,-,0,0,-,0.458,32.07600021,45,45,45
Sat Sep 28 09:31:04 GMT+02:00 2019,28-set-2019 09:31:04.257,13.39539079,42.35650907,8.91,15.008,708.754150390625,89.2,1.24865723,7.94219971,5.00312805,-0.01883409,-,-,-,-,19.48316383,-,5.1325922,-,-,-,-,-,-,-,12.92399979,0.00563667,139.8349762,-,15.00800037,708.75415039,42.35651016,13.39539051,89.19999695,7,0,0,100,-,-,-,-,-,-,-,18,0,1,-,1.06599998,32.07600021,45,45,45
Sat Sep 28 09:31:11 GMT+02:00 2019,28-set-2019 09:31:10.778,13.39630697,42.3565656,11.05,18.224,708.68994140625,86.2,0.70037842,0.53694153,11.05807495,0.08285924,-,99.60784149,-,0,16.22284126,-,6.16402006,-,-,-,-,-,-,-,13.81600189,0.02101819,139.85035706,1741,18.22400093,708.68994141,42.35656738,13.39630699,86.19999695,6,0,0,100,-,-,28.23529434,32.15686417,-,-,16.47058868,18,0,7,174,7.37599993,39.77999878,46,45.5,45.5
Sat Sep 28 09:31:17 GMT+02:00 2019,28-set-2019 09:31:17.095,13.39791732,42.35649961,17.24,11.792,713.322509765625,81.6,-0.9324646,5.52166748,7.44282532,0.06280621,-,99.60784149,-,8.28316307,16.22136688,12.07243156,6.16458035,8.28316307,12.07243156,-,-,-,319.31561279,319.31561279,18.22000122,0.02101819,139.85035706,1590,11.79199982,713.32250977,42.35649872,13.39791775,81.59999847,9,0,0,100,-,-,18.4313736,18.03921509,-,-,10.98039246,18,0,13,180,13.3739996,62.06399918,58,49.66666794,49.66666794
Sat Sep 28 09:31:24 GMT+02:00 2019,28-set-2019 09:31:24.459,13.39902925,42.35697637,13.6,13.936001,712.299560546875,65.6,-0.86064148,7.12817383,4.29444885,-0.0413012,-,13.72549057,-,16.32571411,16.22138596,6.12517929,6.16457272,12.30443859,8.12697983,-,-,-,162.01087952,240.66323853,0.22800064,0.02101819,139.85035706,1587.5,13.93600082,712.29956055,42.35697556,13.39902878,65.59999847,9,0,0,100,-,-,16.86274529,16.07843208,-,-,7.84313726,17,0,20,187,20.37299919,48.95999908,57,51.5,51.5
Sat Sep 28 09:31:27 GMT+02:00 2019,28-set-2019 09:31:26.879,13.39964413,42.35703257,14.12,9.648001,711.786376953125,85.9,0.83206177,7.05874634,6.1643219,-0.02194273,-,64.70588684,-,77.47614288,16.22168732,1.29069304,6.16445827,14.1508007,7.06659079,-,-,-,34.1388092,171.82176208,0.35200119,0.02101819,139.85035706,1505,9.64800072,711.78637695,42.35703278,13.3996439,85.90000153,7,0,0,100,-,-,7.84313726,7.84313726,-,-,0,17,0,23,191,23.68499947,50.83199692,55,52.20000076,52.20000076
Sat Sep 28 09:31:30 GMT+02:00 2019,28-set-2019 09:31:29.990,13.40010551,42.35704682,13.41,8.576,714.503662109375,89.3,0.58546448,7.45378113,6.43008423,0.03512571,20.30384445,12.15686321,-,21.74446678,16.22271156,4.59877539,6.16406918,16.04921722,6.23070383,-,-,-,121.63752747,159.27571106,1.16800308,0.05473805,139.88407898,1451.5,8.57600021,714.50366211,42.35704803,13.40010548,89.30000305,7,0,0,100,-,-,18.03921509,17.64705849,-,-,7.84313726,17,0,26,194,26.79500008,48.27599716,52,52.16666794,52.16666794
Sat Sep 28 09:31:31 GMT+02:00 2019,28-set-2019 09:31:31.361,13.40028,42.3570551,13.68,8.576,717.566650390625,88.9,1.21992493,6.63258362,5.67350769,-0.04222384,20.29981804,99.60784149,-,143.94827271,16.22301292,0.6946795,6.16395473,16.40837097,6.09432364,-,-,-,18.37425995,131.09541321,2.72400284,0.09925694,139.92858887,1408.5,8.57600021,717.56665039,42.35705566,13.40028,88.90000153,8,0,0,100,-,-,16.07843208,15.68627453,-,-,8.62745094,17,0,28,196,28.16500092,49.2480011,51,52,52
Sat Sep 28 09:31:33 GMT+02:00 2019,28-set-2019 09:31:32.727,13.40062988,42.35705303,13.85,10.72,719.760986328125,89.3,0.56869507,6.39555359,7.00708008,-0.01219445,20.29553795,45.09804153,-,18.27239418,16.22339249,5.47262287,6.16381025,16.71904182,5.98108006,-,-,-,144.7507782,133.37130737,1.78800201,0.11863694,139.94796753,1410,10.72000027,719.76098633,42.35705185,13.40063,89.30000305,8,0,0,100,-,-,16.47058868,16.07843208,-,-,6.27450991,17,0,29,197,29.5359993,49.86000061,51,51.875,51.875
Sat Sep 28 09:31:34 GMT+02:00 2019,28-set-2019 09:31:34.246,13.40079674,42.35706037,13.95,13.936001,719.214599609375,87.5,-0.89894104,7.19042969,7.31114197,0.00718159,20.29380417,98.4313736,-,49.78129959,16.22369385,2.00874472,6.16369629,16.87999725,5.92404842,-,-,-,53.13125992,121.90844727,1.13999939,0.13804527,139.96737671,1391.5,13.93600082,719.21459961,42.35705948,13.40079689,87.5,8,0,0,100,-,-,19.2156868,18.8235302,-,-,9.01960754,17,0,31,199,31.04899979,50.21999741,51,51.77777863,51.77777863
Sat Sep 28 09:31:36 GMT+02:00 2019,28-set-2019 09:31:35.610,13.40107827,42.35708705,12.8,19.296001,719.67138671875,85.4,-0.00590515,6.1537323,7.40692139,-0.00453683,20.28864861,39.2156868,-,16.96720123,16.22383118,5.89360189,6.16364384,16.89089775,5.92022562,-,-,-,155.88565063,126.15559387,1.60800171,0.15947944,139.98881531,1391.5,19.29600143,719.67138672,42.35708618,13.40107822,85.40000153,8,0,0,100,-,-,16.07843208,16.07843208,-,-,5.09803915,17,0,32,200,32.41999817,46.07999802,51,51.70000076,51.70000076
Sat Sep 28 09:31:37 GMT+02:00 2019,28-set-2019 09:31:36.987,13.4012179,42.35711137,12.79,22.512001,719.984619140625,82.6,0.43223572,5.93347168,8.00067139,0.00178355,20.2870636,58.8235321,-,59.17283249,16.22413254,1.6899296,6.1635294,16.99704361,5.88325357,-,-,-,44.6986084,117.10482025,3.92000198,0.17868346,140.00802612,1370.5,22.51200104,719.98461914,42.35711288,13.40121746,82.59999847,8,0,0,100,-,-,8.62745094,7.84313726,-,-,6.27450991,17,0,33,201,33.79299927,46.04399872,50,51.54545593,51.54545593
Sat Sep 28 09:31:38 GMT+02:00 2019,28-set-2019 09:31:38.360,13.40136534,42.357126,13.13,21.44,720.5230712890625,82.5,0.06591797,6.26387024,7.70379639,-0.0340893,20.28441811,12.54901981,-,28.82654572,16.22646904,3.46895266,6.16264248,18.17999458,5.50043726,-,-,-,91.75373077,114.56970978,1.95600128,0.19730346,140.02664185,1315.5,21.44000053,720.52307129,42.35712433,13.40136528,82.5,7,0,0,100,-,-,18.4313736,17.64705849,-,-,8.23529434,17,0,35,203,35.1629982,47.26799774,48,51.25,51.25
Sat Sep 28 09:31:40 GMT+02:00 2019,28-set-2019 09:31:39.681,13.40167379,42.35711415,12.47,23.584,721.576171875,87.3,-0.2237854,6.72355652,5.60647583,-0.08831728,20.28283501,53.72549057,-,144.58602905,16.22676849,0.69161534,6.16252804,18.14991379,5.50955343,-,-,-,18.29321289,105.81730652,0.09200287,0.21532707,140.04466248,1304.5,23.58399963,721.57617188,42.35711288,13.40167332,87.30000305,5,0,0,100,-,-,17.64705849,16.86274529,-,-,6.66666698,17,0,36,204,36.48500061,44.89199829,47,50.92307663,50.92307663
Sat Sep 28 09:31:41 GMT+02:00 2019,28-set-2019 09:31:41.042,13.40182328,42.35712705,12.66,25.728,721.8719482421875,83.9,-0.21659851,6.26147461,7.08848572,-0.03413322,20.28090858,41.17647171,-,36.89015198,16.22706985,2.71069431,6.16241407,18.12487411,5.51716471,-,-,-,71.69781494,102.97401428,2.10800171,0.23265179,140.0619812,1289,25.72800064,721.87194824,42.35712814,13.40182304,83.90000153,6,0,0,100,-,-,10.58823586,10.1960783,-,-,0,17,0,37,205,37.84700012,45.5759964,47,50.6428566,50.6428566
Sat Sep 28 09:31:42 GMT+02:00 2019,28-set-2019 09:31:42.319,13.40199386,42.35710903,12.41,22.512001,722.107421875,86.3,-0.89894104,7.302948,5.60647583,0.00094219,20.27910995,49.41176605,-,46.30217361,16.22736931,2.15968084,6.16229963,18.10371399,5.52361345,-,-,-,57.1235199,99.447052,0.5759964,0.25025958,140.07958984,1252,22.51200104,722.10742188,42.35710907,13.40199375,86.30000305,5,0,0,100,-,-,14.50980377,7.84313726,-,-,5.88235283,17,0,39,207,39.12799835,44.67599869,45,50.26666641,50.26666641
Sat Sep 28 09:31:43 GMT+02:00 2019,28-set-2019 09:31:43.486,13.40216319,42.35711695,12.7,22.512001,722.2177734375,86.3,0.75784302,7.70996094,4.96722412,-0.02271744,20.27729225,3.52941179,-,37.30867004,16.22767067,2.68028641,6.16218567,18.08559799,5.52914619,-,-,-,70.89352417,97.40751648,2.71999741,0.26512179,140.0944519,1174.5,22.51200104,722.21777344,42.3571167,13.40216351,86.30000305,6,0,0,100,-,-,7.84313726,7.84313726,-,-,0,17,0,40,208,40.29499817,45.71999741,43,49.8125,49.8125
Sat Sep 28 09:31:45 GMT+02:00 2019,28-set-2019 09:31:44.777,13.40253123,42.35710472,12.55,17.152,722.6671142578125,85.3,1.0403595,7.86798096,5.1013031,-0.0229696,20.27729225,17.64705849,-,181.2480011,16.22797012,0,6.1620717,18.06992149,5.53394318,-,-,-,0,90.91368103,3.42399979,0.2792618,140.1085968,1127.5,17.15200043,722.66711426,42.35710526,13.40253162,85.30000305,8,0,0,100,-,-,14.90196133,14.50980377,-,-,4.31372547,17,0,41,209,41.58200073,45.18000031,41,49.29411697,49.29411697
Sat Sep 28 09:31:46 GMT+02:00 2019,28-set-2019 09:31:46.136,13.40268143,42.35709448,11.71,16.08,723.2451171875,82.1,1.41864014,7.74588013,5.12524414,-0.01446961,20.27616882,99.60784149,-,124.1545639,16.22827148,0.80543089,6.16195774,18.05622482,5.53814125,-,-,-,21.30363274,86.56304932,5.18000031,0.29406679,140.12339783,1088,16.07999992,723.24511719,42.35709381,13.40268135,82.09999847,8,0,0,100,-,-,7.84313726,7.84313726,-,-,0,17,0,42,210,42.94200134,42.15599823,40,48.77777863,48.77777863
Sat Sep 28 09:31:47 GMT+02:00 2019,28-set-2019 09:31:47.370,13.40283088,42.35708299,10.74,13.936001,723.400146484375,80.8,1.08584595,7.62617493,5.72857666,-0.00992088,20.27273178,5.49019623,-,17.67686462,16.22854042,5.65699387,6.1618557,18.03390884,5.54499435,-,-,-,149.62738037,90.27272034,0.66399765,0.30896261,140.13829041,1076.5,13.93600082,723.40014648,42.35708237,13.40283108,80.80000305,8,0,0,100,-,-,7.84313726,7.84313726,-,-,0,17,0,44,212,44.17599869,38.66399765,38,48.21052551,48.21052551
Sat Sep 28 09:31:49 GMT+02:00 2019,28-set-2019 09:31:48.695,13.40309128,42.35717029,9.74,13.936001,720.190185546875,71.0,0.82247925,7.40829468,6.62640381,-0.00034932,20.27273178,19.2156868,-,181.2480011,16.22883987,0,6.16174173,18.02376938,5.54811382,-,-,-,0,85.25756836,4.19599915,0.3207626,140.15010071,939.5,13.93600082,720.19018555,42.3571701,13.40309143,71,8,0,0,100,-,-,7.84313726,7.84313726,-,-,0,17,0,45,213,45.50299835,35.06399918,34,47.5,47.5
