GPS Time,Device Time,Longitude,Latitude,GPS Speed (Meters/second),Altitude,G(x),G(y),G(z),Kilometers Per Litre(Instant)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Actual engine % torque(%),Trip Distance(km),Engine RPM(rpm),GPS Accuracy(m),GPS Altitude(m),GPS Latitude(°),GPS Longitude(°)
Sat Sep 28 08:53:55 GMT+02:00 2019,28-set-2019 08:53:54.225,13.42299898,42.35295944,14.69,779.55712890625,3.1831665,8.11698914,3.26972961,16.18911743,6.17686033,120.23959351,42.35295868,7.84313726,-,-,0,16
Sat Sep 28 08:53:56 GMT+02:00 2019,28-set-2019 08:53:55.185,13.42316794,42.35298949,15.0,781.0069580078125,3.04669189,7.91586304,3.10693359,16.191757199999998,6.17585325,120.16943359,42.3529892,7.84313726,-,-,0,16
Sat Sep 28 08:53:57 GMT+02:00 2019,28-set-2019 08:53:56.264,13.42337321,42.35303476,15.69,780.657470703125,3.59257507,7.61419678,3.23143005,16.19210625,6.17572069,119.9167099,42.35303497,7.84313726,-,-,0,16
Sat Sep 28 08:53:58 GMT+02:00 2019,28-set-2019 08:53:57.257,13.42359158,42.35310494,16.3,780.883544921875,3.34837341,8.64370728,3.38226318,16.19245338,6.17558765,119.61001587,42.35310364,7.84313726,-,-,5.49019623,16
Sat Sep 28 08:53:59 GMT+02:00 2019,28-set-2019 08:53:58.222,13.42375749,42.35318195,16.07,781.7099609375,3.68354797,7.78657532,3.51634216,16.19280243,6.17545509,119.34425354,42.35318375,7.84313726,-,-,0,16
Sat Sep 28 08:54:00 GMT+02:00 2019,28-set-2019 08:53:59.317,13.42393902,42.35324234,15.92,781.48828125,3.18077087,7.69560242,2.63526917,16.19314957,6.17532206,119.09122467,42.35324097,7.84313726,-,-,0,16
Sat Sep 28 08:54:01 GMT+02:00 2019,28-set-2019 08:54:00.285,13.42414601,42.35331116,16.14,780.6343994140625,3.58538818,8.00205994,3.32719421,16.19349861,6.1751895,118.78896332,42.35330963,11.37254906,-,-,0.78431374,16
Sat Sep 28 08:54:02 GMT+02:00 2019,28-set-2019 08:54:01.262,13.42430934,42.35332901,15.38,780.8446044921875,4.15281677,7.891922,3.11170959,16.19384575,6.17505693,118.48822784,42.3533287,7.84313726,-,-,0,16
Sat Sep 28 08:54:03 GMT+02:00 2019,28-set-2019 08:54:02.355,13.42447802,42.35335560000001,15.09,780.5216064453125,3.98283386,8.13374329,3.13804626,16.19419289,6.17492437,118.18901825,42.35335541,8.23529434,-,-,4.31372547,16
Sat Sep 28 08:54:04 GMT+02:00 2019,28-set-2019 08:54:03.322,13.424667699999999,42.35334883,15.03,779.261474609375,4.0067749,8.08586121,3.29606628,16.19454193,6.17479181,117.93584442,42.35334778,7.84313726,-,-,0,16
Sat Sep 28 08:54:05 GMT+02:00 2019,28-set-2019 08:54:04.282,13.42483603,42.35336133,14.82,780.11181640625,4.16239929,7.84643555,2.85792542,16.19488907,6.17465925,117.6909256,42.35336304,7.84313726,-,-,0,16
Sat Sep 28 08:54:06 GMT+02:00 2019,28-set-2019 08:54:05.373,13.42501959,42.35335325,14.96,781.71630859375,3.90621948,8.09065247,3.09255981,16.19523621,6.17452669,117.39595795,42.35335159,14.11764717,-,-,4.70588255,16
Sat Sep 28 08:54:07 GMT+02:00 2019,28-set-2019 08:54:06.340,13.42520183,42.35337231,14.91,782.8760986328125,4.3036499,8.21994019,1.91461182,16.19558525,6.17439413,117.1024704,42.35337067,14.11764717,-,-,3.92156863,16
Sat Sep 28 08:54:08 GMT+02:00 2019,28-set-2019 08:54:07.320,13.42538939,42.35337241,15.15,785.393798828125,3.98283386,7.60940552,2.79328918,16.19593239,6.17426157,116.89089966,42.35337067,7.84313726,-,-,0,16
Sat Sep 28 08:54:09 GMT+02:00 2019,28-set-2019 08:54:08.415,13.42558398,42.35336971,15.17,786.6578369140625,3.72904968,7.79136658,1.80686951,16.19627953,6.17412901,116.66072845,42.35337067,7.84313726,-,-,0,16
Sat Sep 28 08:54:10 GMT+02:00 2019,28-set-2019 08:54:09.374,13.42574863,42.35336788,14.76,786.812744140625,4.07141113,7.91108704,3.26255798,16.19662666,6.17399645,116.37124634,42.35336685,7.84313726,-,-,5.49019623,16
Sat Sep 28 08:54:11 GMT+02:00 2019,28-set-2019 08:54:10.342,13.42594108,42.35334581,15.32,786.30859375,3.89424133,7.83924866,3.16677856,16.196973800000002,6.17386436,116.13300323,42.35334396,7.84313726,-,-,0,16
Sat Sep 28 08:54:12 GMT+02:00 2019,28-set-2019 08:54:11.443,13.42611821,42.35331668,15.36,785.42333984375,4.3323822,8.28697205,3.32240295,16.19732094,6.1737318,115.89643097,42.35331726,7.84313726,-,-,0,16
Sat Sep 28 08:54:13 GMT+02:00 2019,28-set-2019 08:54:12.423,13.42629148,42.35327954,15.35,785.523193359375,4.32041931,8.42822266,3.18115234,16.19766808,6.17359924,115.61096954,42.35327911,7.84313726,-,-,0,16
Sat Sep 28 08:54:14 GMT+02:00 2019,28-set-2019 08:54:13.397,13.42646577,42.35323321,15.28,787.38916015625,4.47364807,8.02839661,3.26016235,16.19801521,6.17346716,115.32691193,42.35323334,7.84313726,-,-,0,16
Sat Sep 28 08:54:15 GMT+02:00 2019,28-set-2019 08:54:14.483,13.4266351,42.35317644,15.19,785.12451171875,4.49519348,8.06192017,3.28170776,16.19836235,6.17333508,115.04425049,42.35317612,7.84313726,-,-,0,16
