GPS Time,Device Time,Longitude,Latitude,GPS Speed (Meters/second),Altitude,G(x),G(y),G(z),Kilometers Per Litre(Instant)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Actual engine % torque(%),Trip Distance(km),Engine RPM(rpm),GPS Accuracy(m),GPS Altitude(m),GPS Latitude(°),GPS Longitude(°)
Tue Oct 08 12:52:46 GMT+02:00 2019,08-ott-2019 12:52:45.160,14.24204928,41.59944809,5.29,520.9361572265625,-0.69065857,5.90953064,7.078903200000001,19.7199707,5.07095718,-,-,-,-,-,-,-
Tue Oct 08 12:52:46 GMT+02:00 2019,08-ott-2019 12:52:45.432,14.24204928,41.59944809,5.29,520.9361572265625,-0.36743164,8.10021973,8.17066956,19.7199707,5.07095718,-,-,-,-,-,-,-
Tue Oct 08 12:52:48 GMT+02:00 2019,08-ott-2019 12:52:47.476,14.242146300000002,41.59929146,5.86,518.6610107421875,-0.82232666,7.25746155,6.71499634,16.42009544,6.08997154,-,41.59929276,-,-,-,4.70588255,22
Tue Oct 08 12:52:54 GMT+02:00 2019,08-ott-2019 12:52:53.281,14.24230022,41.5991317,4.72,493.53851318359375,-5.2252655,5.34928894,4.54823303,16.42016602,6.08994579,153.86178589,41.59913254,7.84313726,-,-,0,22
Tue Oct 08 12:53:00 GMT+02:00 2019,08-ott-2019 12:52:59.207,14.24253487,41.59884918,6.6,492.6090087890625,-1.33229065,6.85523987,6.8394928,16.42049408,6.0898242,142.90997314,41.59885025,18.4313736,-,-,7.84313726,22
Tue Oct 08 12:53:06 GMT+02:00 2019,08-ott-2019 12:53:05.588,14.24289282,41.59836227,8.98,518.36767578125,-0.1950531,6.30935669,5.96081543,16.41993332,6.090032099999999,181.50880432,41.59836197,18.03921509,-,-,9.01960754,22
Tue Oct 08 12:53:09 GMT+02:00 2019,08-ott-2019 12:53:08.171,14.24306258,41.59814324,8.16,516.0398559570311,2.23266602,8.20556641,4.24417114,16.41998863,6.0900115999999995,174.93856812,41.59814453,7.84313726,-,-,0,21
Tue Oct 08 12:53:10 GMT+02:00 2019,08-ott-2019 12:53:09.548,14.24311378,41.59807438,8.29,514.582763671875,2.28533936,7.52801514,3.91137695,16.42013741,6.08995628,139.95085144,41.59807587,7.84313726,-,-,0,21
Tue Oct 08 12:53:11 GMT+02:00 2019,08-ott-2019 12:53:10.914,14.24314496,41.59804933,6.5,514.1945190429689,3.68833923,7.42027283,4.93130493,16.42028618,6.08990145,123.14280701,41.59804916,7.84313726,-,-,0,21
Tue Oct 08 12:53:13 GMT+02:00 2019,08-ott-2019 12:53:12.286,14.24314731,41.59800915,3.97,513.2289428710939,3.04908752,7.25746155,6.15953064,16.42043495,6.08984613,113.56323242,41.59801102,7.84313726,-,-,0,21
Tue Oct 08 12:53:14 GMT+02:00 2019,08-ott-2019 12:53:13.657,14.24310723,41.59797138,3.14,512.679931640625,2.69714355,8.25105286,4.09333801,16.42058372,6.08979082,113.56323242,41.59797287,7.84313726,-,-,0,21
Tue Oct 08 12:53:15 GMT+02:00 2019,08-ott-2019 12:53:14.958,14.24311999,41.59797208,1.79,512.46728515625,3.27175903,7.87516785,3.28410339,16.41993523,6.09003115,113.56323242,41.59797287,7.84313726,-,-,0,21
Tue Oct 08 12:53:17 GMT+02:00 2019,08-ott-2019 12:53:16.432,14.24318269,41.59796885,0.33,517.0516967773439,2.35716248,8.46414185,4.34233093,16.41986465,6.09005737,113.56323242,41.59796906,7.84313726,-,-,0,21
Tue Oct 08 12:53:18 GMT+02:00 2019,08-ott-2019 12:53:17.608,14.24315779,41.59798009,0.0,516.8276977539061,3.33639526,7.79855347,3.20748901,16.41979408,6.0900836,113.56323242,41.5979805,7.84313726,-,-,0,21
Tue Oct 08 12:53:20 GMT+02:00 2019,08-ott-2019 12:53:19.024,14.24316559,41.59798205,0.41,519.9429931640625,2.65644836,9.17521667,3.10214233,16.41972351,6.09010983,113.56323242,41.5979805,7.84313726,-,-,0,21
