GPS Time,Device Time,Longitude,Latitude,GPS Speed (Meters/second),Altitude,G(x),G(y),G(z),Kilometers Per Litre(Instant)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Actual engine % torque(%),Engine RPM(rpm),GPS Accuracy(m),GPS Altitude(m),GPS Latitude(°),GPS Longitude(°),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Acceleration Sensor(Total)(g),Run time since engine start(s)
Thu Dec 26 17:49:30 GMT+01:00 2019,26-dic-2019 17:49:29.431,14.11597464,41.778237,1.56,861.7626953125,0.58890414,9.14948273,4.54263401,1.92630768,51.91170883,-,1048,3.79009247,861.76269531,41.77823639,14.11597443,0.35891637,0.87284297,0.26221216,0.01122288,341
Thu Dec 26 17:49:30 GMT+01:00 2019,26-dic-2019 17:49:30.153,14.11597464,41.778237,1.56,861.7626953125,1.75310671,8.54342651,3.48143721,8.47911358,11.79344082,-,1030,3.79009247,861.76269531,41.77823639,14.11597443,0.20507832,0.9277851,0.28125879,0.02416639,342
Thu Dec 26 17:49:31 GMT+01:00 2019,26-dic-2019 17:49:31.113,14.11595054,41.7782415,2.01,862.231201171875,2.69213438,9.69565201,4.01323318,8.55289459,11.69170475,-,1016.5,3.79009247,862.23120117,41.7782402,14.11595058,0.25611350000000005,0.87088954,0.21386306,-0.03917581,343
Thu Dec 26 17:49:32 GMT+01:00 2019,26-dic-2019 17:49:31.833,14.11593012,41.77825418,2.01,862.387451171875,2.12201023,8.81411552,3.08139229,3.95364022,25.29261971,-,1101.5,3.79009247,862.38745117,41.77825546,14.11593056,0.21582256,0.93486655,0.29395655,0.03754123,343
Thu Dec 26 17:49:33 GMT+01:00 2019,26-dic-2019 17:49:32.585,14.11591658,41.77827426,2.46,861.8973388671875,1.01290393,9.19739151,5.03131199,5.8913002,16.97382927,-,1134.5,3.79009247,861.89733887,41.77827454,14.11591625,0.08396138,0.89555246,0.36330578,0.01213414,344
Thu Dec 26 17:49:34 GMT+01:00 2019,26-dic-2019 17:49:33.524,14.11590719,41.77829749,2.49,861.4134521484375,2.36395383,8.48833084,4.31506348,16.51052856,6.05661535,-,862.5,3.79009247,861.41345215,41.77829742,14.11590672,0.20800856,0.87504065,0.39627102,0.02760391,345
Thu Dec 26 17:49:35 GMT+01:00 2019,26-dic-2019 17:49:34.249,14.11589865,41.7783176,2.11,861.778564453125,0.98894906,8.852443699999998,3.86471367,6.74997187,14.81456852,-,872.5,3.79009247,861.77856445,41.778316499999995,14.11589909,0.16991533,0.90409899,0.21190956,-0.02830119,346
Thu Dec 26 17:49:35 GMT+01:00 2019,26-dic-2019 17:49:34.965,14.11589865,41.7783176,2.11,861.778564453125,0.67274588,9.789074900000001,3.74254417,5.93728018,16.84237862,-,906,3.79009247,861.77856445,41.778316499999995,14.11589909,-0.02592296,0.97125047,0.3330265,0.06408867,346
Thu Dec 26 17:49:36 GMT+01:00 2019,26-dic-2019 17:49:35.938,14.11589,41.77833143,1.41,861.43408203125,1.48241758,9.62378693,1.3446703000000002,2.41471243,41.41193771,-,1486.5,3.79009247,861.43408203,41.77833176,14.11588955,-0.0232369,1.02741361,0.44681785,0.16449748,347
Thu Dec 26 17:49:37 GMT+01:00 2019,26-dic-2019 17:49:36.666,14.11585818,41.77835124,3.49,861.251708984375,-1.34185147,9.67409134,3.47904158,2.15744925,46.35006714,-,1829,3.79009247,861.25170898,41.77835083,14.11585808,0.02267033,0.93608749,0.24365394,-0.00222668,348
