GPS Time,Device Time,Longitude,Latitude,GPS Speed (Meters/second),Altitude,G(x),G(y),G(z),Kilometers Per Litre(Instant)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Actual engine % torque(%),Trip Distance(km),Engine RPM(rpm),GPS Accuracy(m),GPS Altitude(m),GPS Latitude(°),GPS Longitude(°)
Thu Oct 03 22:58:44 GMT+02:00 2019,03-ott-2019 22:58:43.486,14.23279654,41.59436951,0.24,500.30078125,0.07788086,2.96226501,9.216934199999999,16.52368736,6.05179167,259.94454956,41.59436798,7.84313726,-,-,0,14
Thu Oct 03 22:58:45 GMT+02:00 2019,03-ott-2019 22:58:44.855,14.23279666,41.59436871,0.44,500.3966064453125,0.34124756,3.27830505,8.89610291,16.52361107,6.05182028,259.94454956,41.59436798,7.84313726,-,-,0,14
Thu Oct 03 22:58:46 GMT+02:00 2019,03-ott-2019 22:58:46.370,14.23279694,41.59436506,0.21,500.8338623046875,0.37237549,4.28865051,9.72929382,16.52353287,6.05184841,259.94454956,41.59436417,7.84313726,-,-,0,14
Thu Oct 03 22:58:49 GMT+02:00 2019,03-ott-2019 22:58:49.034,14.23278784,41.59436493,0.39,499.327880859375,-1.83987427,7.61419678,3.56182861,16.52345657,6.05187654,259.94454956,41.59436417,7.84313726,-,-,0,14
Thu Oct 03 22:58:51 GMT+02:00 2019,03-ott-2019 22:58:50.813,14.23279496,41.59437326,0.49,496.8776245117188,1.76579285,7.26464844,5.19946289,16.52337837,6.05190516,259.94454956,41.5943718,7.84313726,-,-,0,14
Thu Oct 03 22:58:52 GMT+02:00 2019,03-ott-2019 22:58:52.016,14.23279846,41.59437504,0.27,498.624755859375,2.06028748,7.99487305,4.60809326,16.52330208,6.05193329,259.94454956,41.59437561,7.84313726,-,-,0,14
Thu Oct 03 22:58:54 GMT+02:00 2019,03-ott-2019 22:58:53.532,14.23280914,41.594371100000004,0.22,500.5406494140625,1.93579102,7.94219971,4.21543884,16.52322388,6.05196142,259.94454956,41.5943718,7.84313726,-,-,0,14
Thu Oct 03 22:58:55 GMT+02:00 2019,03-ott-2019 22:58:54.902,14.23282027,41.59436286,0.54,501.483154296875,2.02915955,8.0643158,4.40937805,16.52314758,6.05199003,259.94454956,41.59436417,7.84313726,-,-,0,14
Thu Oct 03 22:58:56 GMT+02:00 2019,03-ott-2019 22:58:56.271,14.23283567,41.5943523,0.68,503.70880126953125,1.97169495,7.94219971,4.35910034,16.52306938,6.05201817,259.94454956,41.59435272,7.84313726,-,-,0,14
Thu Oct 03 22:58:58 GMT+02:00 2019,03-ott-2019 22:58:57.645,14.23287026,41.59432588,1.05,506.2408447265625,2.0411377,8.19120789,4.46682739,16.52299309,6.0520463,259.94454956,41.59432602,7.84313726,-,-,0,14
Thu Oct 03 22:59:01 GMT+02:00 2019,03-ott-2019 22:59:00.953,14.23290966,41.594317700000005,0.28,510.4349365234375,1.9262085,7.93742371,4.15319824,16.52291489,6.05207491,259.94454956,41.59431839,7.84313726,-,-,0,14
Thu Oct 03 22:59:03 GMT+02:00 2019,03-ott-2019 22:59:02.390,14.23292422,41.59431845,0.0,509.850341796875,1.89030457,7.891922,4.13165283,16.52283859,6.05210304,259.94454956,41.59431839,7.84313726,-,-,0,14
Thu Oct 03 22:59:04 GMT+02:00 2019,03-ott-2019 22:59:03.831,14.23293018,41.59432155,0.0,511.0997924804688,1.94535828,7.88952637,4.15559387,16.522762300000004,6.05213118,259.94454956,41.5943222,7.84313726,-,-,0,14
Thu Oct 03 22:59:05 GMT+02:00 2019,03-ott-2019 22:59:05.269,14.23293487,41.59432353,0.0,511.6837158203125,1.96212769,8.12416077,4.29924011,16.5226841,6.05215931,259.94454956,41.5943222,7.84313726,-,-,0,14
Thu Oct 03 22:59:07 GMT+02:00 2019,03-ott-2019 22:59:06.731,14.23293842,41.59433101,0.0,513.1287841796875,1.35877991,9.04592896,2.46768188,16.5226078,6.05218792,259.94454956,41.59432983,16.86274529,-,-,7.05882359,14
Thu Oct 03 22:59:09 GMT+02:00 2019,03-ott-2019 22:59:08.461,14.23293881,41.5943268,0.0,513.9610595703125,1.40188599,7.81053162,4.25854492,16.5225296,6.05221605,259.94454956,41.59432602,28.23529434,-,-,18.4313736,14
Thu Oct 03 22:59:12 GMT+02:00 2019,03-ott-2019 22:59:11.700,14.23297254,41.59433661,4.47,514.2919311523439,1.46173096,8.84242249,3.16438293,16.52118301,6.05270958,259.94454956,41.59433746,25.88235283,-,-,17.25490189,14
Thu Oct 03 22:59:15 GMT+02:00 2019,03-ott-2019 22:59:14.422,14.23323517,41.5944419,7.11,512.905517578125,1.90466309,8.47610474,3.34873962,16.51997566,6.05315161,293.36419678,41.59444046,25.09803963,-,-,17.25490189,14
Thu Oct 03 22:59:16 GMT+02:00 2019,03-ott-2019 22:59:15.859,14.23335486,41.59446149,8.11,513.4828491210939,2.65644836,8.13134766,4.603301999999999,16.51873779,6.05360556,325.61230469,41.59446335,17.64705849,-,-,0,14
Thu Oct 03 22:59:20 GMT+02:00 2019,03-ott-2019 22:59:19.645,14.23382361,41.59463061,10.67,510.529052734375,0.87994385,7.91346741,3.80603027,16.51889992,6.05354595,304.79446411,41.5946312,22.74509811,-,-,16.07843208,14
Thu Oct 03 22:59:21 GMT+02:00 2019,03-ott-2019 22:59:21.290,14.23396504,41.59468122,11.04,511.18505859375,2.1608429,8.63891602,4.44767761,16.51781464,6.05394411,317.73931885,41.59468079,20.7843132,-,-,12.54901981,14
Thu Oct 03 22:59:24 GMT+02:00 2019,03-ott-2019 22:59:23.649,14.23436793,41.59489081,12.66,508.2110595703125,2.79051208,8.2749939,3.86349487,16.517572400000002,6.0540328,309.10913086,41.59489059,20.3921566,-,-,10.98039246,14
Thu Oct 03 22:59:25 GMT+02:00 2019,03-ott-2019 22:59:25.105,14.23446954,41.59496584,12.32,507.238525390625,2.41462708,7.89910889,4.58654785,16.51714134,6.05419016,303.41864014,41.59496689,19.6078434,-,-,10.98039246,14
Thu Oct 03 22:59:26 GMT+02:00 2019,03-ott-2019 22:59:26.348,14.23466096,41.59499133,13.21,508.978515625,2.19197083,7.45378113,5.3072052,16.51670265,6.05435133,298.49575806,41.59498978,7.84313726,-,-,8.62745094,13
Thu Oct 03 22:59:28 GMT+02:00 2019,03-ott-2019 22:59:27.502,14.23493331,41.59504933,11.89,506.84765625,3.27175903,6.93664551,5.71182251,16.51694107,6.05426359,289.66445923,41.59505081,7.84313726,-,-,0,13
Thu Oct 03 22:59:29 GMT+02:00 2019,03-ott-2019 22:59:29.177,14.23504304,41.59507735,10.85,508.19635009765625,3.66918945,6.99171448,6.00151062,16.5171032,6.05420446,274.41897583,41.59507751,7.84313726,-,-,0,13
Thu Oct 03 22:59:32 GMT+02:00 2019,03-ott-2019 22:59:32.033,14.2353519,41.59512613,8.04,509.82427978515625,4.20069885,7.32928467,3.62886047,16.51726532,6.05414486,263.26690674,41.59512711,16.07843208,-,-,5.88235283,13
Thu Oct 03 22:59:34 GMT+02:00 2019,03-ott-2019 22:59:33.402,14.23539782,41.59502686,5.68,511.550048828125,2.96051025,7.32450867,2.63287354,16.51742744,6.05408573,250.73039246,41.59502792,18.03921509,-,-,8.23529434,13
Thu Oct 03 22:59:35 GMT+02:00 2019,03-ott-2019 22:59:34.603,14.23542028,41.59498787,5.77,512.609619140625,2.445755,7.95178223,4.28248596,16.5165596,6.05440331,255.01051331,41.59498978,19.2156868,-,-,9.8039217,13
Thu Oct 03 22:59:36 GMT+02:00 2019,03-ott-2019 22:59:35.972,14.23544239,41.59494662,5.58,512.010009765625,2.51757812,8.80889893,5.03425598,16.51573753,6.05470514,258.10211182,41.59494781,7.84313726,-,-,7.05882359,13
Thu Oct 03 22:59:37 GMT+02:00 2019,03-ott-2019 22:59:37.341,14.23546105,41.59487313,6.14,511.8250732421875,2.97486877,7.23352051,4.34233093,16.51535416,6.05484581,256.09262085,41.59487152,7.84313726,-,-,0,13
Thu Oct 03 22:59:38 GMT+02:00 2019,03-ott-2019 22:59:38.713,14.23553011,41.59475478,9.7,512.1973266601561,3.11134338,7.12817383,5.72857666,16.51551628,6.05478621,247.02856445,41.59475327,7.84313726,-,-,0,13
Thu Oct 03 22:59:42 GMT+02:00 2019,03-ott-2019 22:59:41.927,14.23571109,41.59447342,6.63,514.8116455078125,1.61256409,6.30456543,6.35107422,16.51567841,6.05472708,237.52746582,41.59447479,7.84313726,-,-,0,13
Thu Oct 03 22:59:44 GMT+02:00 2019,03-ott-2019 22:59:43.442,14.23577933,41.59434832,6.15,516.1016845703125,0.96134949,7.63813782,6.4899292,16.51583862,6.05466795,230.37797546,41.59434891,16.86274529,-,-,0,13
Thu Oct 03 22:59:45 GMT+02:00 2019,03-ott-2019 22:59:44.816,14.23582436,41.59434508,4.7,516.1320190429689,0.88713074,8.23669434,3.83476257,16.51600075,6.05460835,223.55554199,41.59434509,26.27450943,-,-,17.25490189,13
Thu Oct 03 22:59:46 GMT+02:00 2019,03-ott-2019 22:59:46.182,14.235865700000002,41.5943411,3.52,516.1047973632811,1.48806763,8.45695496,3.09495544,16.51497841,6.05498362,230.88818359,41.59434128,28.23529434,-,-,20,13
Thu Oct 03 22:59:48 GMT+02:00 2019,03-ott-2019 22:59:47.551,14.23597962,41.59436212,5.0,516.2901611328125,1.97648621,8.76101685,3.81561279,16.51369286,6.05545425,249.18670654,41.59436035,25.88235283,-,-,18.03921509,13
Thu Oct 03 22:59:50 GMT+02:00 2019,03-ott-2019 22:59:49.671,14.23622783,41.59443078,9.34,516.7752685546875,2.14648438,8.36598206,4.25135803,16.5124855,6.05589771,261.66052246,41.59442902,7.84313726,-,-,0,13
