GPS Time,Device Time,Longitude,Latitude,GPS Speed (Meters/second),Altitude,G(x),G(y),G(z),Kilometers Per Litre(Instant)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Actual engine % torque(%),Trip Distance(km),Engine RPM(rpm),GPS Accuracy(m),GPS Altitude(m),GPS Latitude(°),GPS Longitude(°)
Thu Sep 26 19:18:08 GMT+02:00 2019,26-set-2019 19:18:07.148,14.24137133,41.59656601,0.75,579.40966796875,0.40589905,8.88551331,2.58499146,14.73069572,6.78848648,-,41.59656525,-,-,-,-,-
Thu Sep 26 19:18:08 GMT+02:00 2019,26-set-2019 19:18:07.274,14.24137133,41.59656601,0.75,579.40966796875,0.42025757,8.97171021,3.05186462,14.73069572,6.78848648,-,41.59656525,-,-,-,-,-
Thu Sep 26 19:18:08 GMT+02:00 2019,26-set-2019 19:18:07.390,14.24137133,41.59656601,0.75,579.40966796875,0.11140442,8.79933167,2.89144897,14.73069572,6.78848648,-,41.59656525,-,-,-,-,-
Thu Sep 26 19:18:08 GMT+02:00 2019,26-set-2019 19:18:07.507,14.24137133,41.59656601,0.75,579.40966796875,-0.32913208,8.79214478,2.5969696,14.73069572,6.78848648,-,41.59656525,-,-,-,-,-
Thu Sep 26 19:18:09 GMT+02:00 2019,26-set-2019 19:18:07.987,14.24135874,41.59656269,0.97,579.02783203125,-0.28125,8.95735168,2.58499146,14.73069572,6.78848648,-,41.59656143,-,-,-,-,23
Thu Sep 26 19:18:11 GMT+02:00 2019,26-set-2019 19:18:10.139,14.24135459,41.59648689,1.58,561.8372802734375,-0.15673828,8.54075623,3.43733215,12.26404476,8.15374756,-,41.59648514,-,-,-,16.47058868,23
Thu Sep 26 19:18:17 GMT+02:00 2019,26-set-2019 19:18:15.875,14.24126164,41.59676022,5.62,547.807861328125,1.44018555,8.33006287,3.1907196,12.23735428,8.17153072,-,41.5967598,17.25490189,-,-,7.45098066,23
Thu Sep 26 19:18:23 GMT+02:00 2019,26-set-2019 19:18:21.812,14.24113047,41.59701951,3.53,543.7933349609375,3.52554321,9.16325378,3.00398254,12.24093246,8.16914272,50.66748047,41.5970192,7.84313726,-,-,0,23
Thu Sep 26 19:18:27 GMT+02:00 2019,26-set-2019 19:18:26.012,14.24121257,41.59715359,4.69,543.409912109375,1.1026001,8.78257751,3.5115509,12.23794174,8.17113876,50.66748047,41.59715271,15.68627453,-,-,5.49019623,23
Thu Sep 26 19:18:28 GMT+02:00 2019,26-set-2019 19:18:27.108,14.2413579,41.59713569,6.38,541.886962890625,-0.8127594,9.29971313,4.36149597,12.21453094,8.1868,50.66748047,41.59713745,21.56862831,-,-,12.54901981,23
Thu Sep 26 19:18:29 GMT+02:00 2019,26-set-2019 19:18:28.074,14.24141062,41.59712755,6.11,541.1220703125,-0.286026,8.55751038,4.70385742,12.19759083,8.19816971,232.94120789,41.59712601,21.56862831,-,-,12.15686321,23
Thu Sep 26 19:18:30 GMT+02:00 2019,26-set-2019 19:18:29.039,14.24153006,41.597155,7.19,539.255126953125,0.05873108,7.93980408,2.75976562,12.181958199999999,8.20868969,285.16152954,41.59715652,21.17647171,-,-,12.15686321,23
Thu Sep 26 19:18:31 GMT+02:00 2019,26-set-2019 19:18:30.119,14.24163706,41.59717825,7.82,538.60791015625,1.12893677,9.0579071,3.16917419,12.16701889,8.21876907,308.36087036,41.59717941,21.17647171,-,-,11.76470566,22
Thu Sep 26 19:18:32 GMT+02:00 2019,26-set-2019 19:18:31.253,14.24175082,41.59722643,8.77,538.632080078125,1.62214661,8.16007996,3.39901733,12.15223885,8.22876549,322.00619507,41.59722519,7.84313726,-,-,10.1960783,22
Thu Sep 26 19:18:34 GMT+02:00 2019,26-set-2019 19:18:32.595,14.2419596,41.59732673,9.1,539.87890625,0.52799988,8.54554749,3.07341003,12.14879513,8.23109722,308.59402466,41.59732819,19.2156868,-,-,9.8039217,22
Thu Sep 26 19:18:36 GMT+02:00 2019,26-set-2019 19:18:35.390,14.24219225,41.59742076,10.09,539.9749755859375,0.06352234,8.72990417,3.42056274,12.15572071,8.226408000000001,290.43768311,41.59741974,18.03921509,-,-,8.23529434,22
Thu Sep 26 19:18:38 GMT+02:00 2019,26-set-2019 19:18:36.861,14.24242565,41.59748109,10.1,540.488037109375,0.70516968,8.37554932,3.92095947,12.162504199999999,8.22181988,276.87664795,41.59748077,17.64705849,-,-,8.23529434,22
Thu Sep 26 19:18:39 GMT+02:00 2019,26-set-2019 19:18:37.974,14.24252793,41.59753914,10.59,540.0986328125,1.02598572,8.37316895,4.16036987,12.16692924,8.21882915,267.53244019,41.59753799,7.84313726,-,-,0,22
Thu Sep 26 19:18:40 GMT+02:00 2019,26-set-2019 19:18:39.430,14.24263316,41.59759498,9.82,540.848876953125,0.76502991,8.22711182,4.05741882,12.17037582,8.21650219,244.90727234,41.59759521,7.84313726,-,-,0,22
Thu Sep 26 19:18:44 GMT+02:00 2019,26-set-2019 19:18:43.447,14.24302518,41.59769037,7.69,540.0413818359375,2.68516541,7.32450867,6.53781128,12.17381382,8.2141819,222.64297485,41.59769058,7.84313726,-,-,0,22
Thu Sep 26 19:18:44 GMT+02:00 2019,26-set-2019 19:18:45.624,14.24302518,41.59769037,7.69,540.0413818359375,0.18562317,8.78018188,2.54669189,12.17724323,8.21186829,204.08938599,41.59769058,15.29411793,-,-,1.56862748,22
Thu Sep 26 19:18:44 GMT+02:00 2019,26-set-2019 19:18:46.973,14.24302518,41.59769037,7.69,540.0413818359375,0.18562317,8.78018188,2.54669189,12.15650845,8.2258749,204.08938599,41.59769058,18.4313736,-,-,6.66666698,22
Thu Sep 26 19:18:49 GMT+02:00 2019,26-set-2019 19:18:48.333,14.24314347,41.59775115,2.48,539.9677734375,0.18562317,8.78018188,2.54669189,12.12695503,8.24592113,204.08938599,41.59775162,7.84313726,-,-,7.05882359,22
Thu Sep 26 19:18:51 GMT+02:00 2019,26-set-2019 19:18:49.704,14.24324475,41.59778461,3.85,541.234130859375,1.78016663,8.28697205,3.51394653,12.12035656,8.25041103,209.2260437,41.59778595,16.07843208,-,-,6.27450991,22
Thu Sep 26 19:18:52 GMT+02:00 2019,26-set-2019 19:18:51.030,14.2432924,41.59777057,3.85,541.2216796875,0.94459534,8.84002686,3.65040588,12.1252594,8.24707413,207.89201355,41.59777069,16.07843208,-,-,6.27450991,22
Thu Sep 26 19:18:52 GMT+02:00 2019,26-set-2019 19:18:52.198,14.2432924,41.59777057,3.85,541.2216796875,1.00204468,8.509628300000001,3.42774963,12.11525249,8.25388622,214.72210693,41.59777069,15.68627453,-,-,5.88235283,22
Thu Sep 26 19:18:55 GMT+02:00 2019,26-set-2019 19:18:53.675,14.24348659,41.59784693,5.22,537.30419921875,0.55194092,8.42822266,3.38465881,12.11271286,8.25561714,216.06376648,41.59784698,16.86274529,-,-,7.05882359,22
Thu Sep 26 19:18:57 GMT+02:00 2019,26-set-2019 19:18:55.942,14.243672699999998,41.59790821,7.23,538.9404296875,1.30371094,8.24865723,4.31359863,12.11108112,8.25672913,216.85749817,41.59790802,15.29411793,-,-,5.49019623,22
Thu Sep 26 19:18:59 GMT+02:00 2019,26-set-2019 19:18:58.457,14.2438734,41.59795161,8.25,534.842529296875,1.00923157,8.41625977,3.74139404,12.13424969,8.24096394,211.9702301,41.59794998,16.07843208,-,-,6.27450991,22
Thu Sep 26 19:19:01 GMT+02:00 2019,26-set-2019 19:18:59.964,14.244079800000002,41.5979816,8.81,533.8492431640625,1.27020264,8.25823975,3.88024902,12.16266918,8.2217083,207.00672913,41.5979805,7.84313726,-,-,5.88235283,22
Thu Sep 26 19:19:02 GMT+02:00 2019,26-set-2019 19:19:01.520,14.24418663,41.59798292,8.79,533.3128662109375,0.51602173,8.32527161,4.53627014,12.16600132,8.21945667,200.3500824,41.59798431,14.90196133,-,-,5.09803915,22
Thu Sep 26 19:19:04 GMT+02:00 2019,26-set-2019 19:19:02.728,14.24441221,41.59801531,9.14,532.669921875,2.04830933,7.75067139,3.35353088,12.21661472,8.18540382,194.91348267,41.59801483,7.84313726,-,-,0,22
Thu Sep 26 19:19:05 GMT+02:00 2019,26-set-2019 19:19:04.138,14.244487699999997,41.59801288,8.58,532.2703857421875,0.89431763,8.06192017,4.35670471,12.21994305,8.18317413,188.03842163,41.59801102,7.84313726,-,-,0,22
Thu Sep 26 19:19:07 GMT+02:00 2019,26-set-2019 19:19:05.644,14.24472901,41.59802401,9.08,529.473876953125,1.02598572,8.05952454,3.58097839,12.22326374,8.18095112,179.86283875,41.59802246,12.94117641,-,-,1.56862748,22
Thu Sep 26 19:19:08 GMT+02:00 2019,26-set-2019 19:19:07.170,14.24483376,41.59804474,9.39,527.645751953125,0.43701172,8.30612183,3.62406921,12.22657681,8.17873383,173.57289124,41.59804535,13.72549057,-,-,3.52941179,22
Thu Sep 26 19:19:10 GMT+02:00 2019,26-set-2019 19:19:08.709,14.24508704,41.59807915,9.59,526.35009765625,1.20794678,8.16964722,4.81399536,12.22988129,8.17652416,169.58717346,41.59807968,7.84313726,-,-,0,22
Thu Sep 26 19:19:11 GMT+02:00 2019,26-set-2019 19:19:10.280,14.24517053,41.59814193,9.6,525.923583984375,1.49525452,8.08825684,4.27290344,12.23317719,8.17432117,163.90609741,41.59814072,9.4117651,-,-,0,22
Thu Sep 26 19:19:13 GMT+02:00 2019,26-set-2019 19:19:11.850,14.2453765,41.59821729,9.64,526.6474609375,1.2175293,8.15289307,3.61450195,12.23646641,8.17212391,157.835495,41.59821701,12.15686321,-,-,1.96078432,22
Thu Sep 26 19:19:14 GMT+02:00 2019,26-set-2019 19:19:13.373,14.2454824,41.598243200000006,9.45,527.53662109375,1.09063721,8.1265564,4.25375366,12.23974609,8.16993427,153.34179688,41.59824371,11.37254906,-,-,1.17647064,22
Thu Sep 26 19:19:16 GMT+02:00 2019,26-set-2019 19:19:14.720,14.245705,41.59827258,9.42,524.68017578125,1.65327454,8.0690918,4.3351593,12.2430191,8.16775036,148.91101074,41.59827423,11.37254906,-,-,1.17647064,22
Thu Sep 26 19:19:17 GMT+02:00 2019,26-set-2019 19:19:16.082,14.24581116,41.59829983,9.25,524.0555419921875,-0.21659851,8.11698914,4.43331909,12.24628448,8.16557217,144.71447754,41.59830093,12.94117641,-,-,2.35294127,22
Thu Sep 26 19:19:18 GMT+02:00 2019,26-set-2019 19:19:17.267,14.24591164,41.59831711,9.15,523.2431640625,0.95655823,8.05712891,4.1292572,12.24954128,8.1634016,141.13043213,41.59831619,13.72549057,-,-,3.52941179,22
Thu Sep 26 19:19:20 GMT+02:00 2019,26-set-2019 19:19:18.775,14.24614332,41.59837838,9.66,524.0400390625,0.71235657,8.71313477,3.93052673,12.25279045,8.16123676,138.26841736,41.59837723,14.11764717,-,-,3.92156863,22
Thu Sep 26 19:19:21 GMT+02:00 2019,26-set-2019 19:19:20.364,14.24626707,41.59841018,9.92,524.9119873046875,1.21992493,8.37077332,4.42134094,12.25603199,8.15907764,136.09187317,41.59841156,14.11764717,-,-,4.31372547,22
Thu Sep 26 19:19:23 GMT+02:00 2019,26-set-2019 19:19:22.063,14.24650899,41.59850296,10.34,525.4385986328125,0.8344574,7.77700806,4.61767578,12.2592659,8.15692616,134.03746033,41.59850311,7.84313726,-,-,2.35294127,22
Thu Sep 26 19:19:25 GMT+02:00 2019,26-set-2019 19:19:23.882,14.24670515,41.598593,9.79,525.275634765625,0.95176697,7.98770142,3.76773071,12.31301785,8.12131691,132.51985168,41.59859467,7.84313726,-,-,0,22
Thu Sep 26 19:19:27 GMT+02:00 2019,26-set-2019 19:19:25.716,14.24690327,41.59868777,8.8,528.4462890625,1.72270203,7.83207703,4.65597534,12.31624985,8.11918545,128.83874512,41.59868622,7.84313726,-,-,0,22
Thu Sep 26 19:19:28 GMT+02:00 2019,26-set-2019 19:19:27.378,14.24699944,41.59873682,9.39,527.3536376953125,2.0411377,8.07867432,5.48677063,12.31947422,8.11706066,125.35662079,41.59873581,7.84313726,-,-,0,22
Thu Sep 26 19:19:30 GMT+02:00 2019,26-set-2019 19:19:28.801,14.24715739,41.59878195,7.12,526.9393310546875,2.16323853,7.87516785,5.03425598,12.32269096,8.1149416,122.05776215,41.59878159,7.84313726,-,-,0,22
Thu Sep 26 19:19:31 GMT+02:00 2019,26-set-2019 19:19:30.496,14.2472051,41.59878822,5.12,525.9130859375,1.37075806,7.76502991,6.40853882,12.32590008,8.11282921,119.79144287,41.59878922,7.84313726,-,-,0,22
Thu Sep 26 19:19:33 GMT+02:00 2019,26-set-2019 19:19:32.131,14.24727256,41.59879592,3.0,522.760498046875,0.45378113,8.86875916,5.44606018,12.32910156,8.11072254,118.15881348,41.59879684,7.84313726,-,-,0,22
Thu Sep 26 19:19:35 GMT+02:00 2019,26-set-2019 19:19:33.679,14.247304699999999,41.59882742,1.96,522.1619873046875,0.38912964,8.06192017,2.75737,12.32280254,8.11486816,118.15881348,41.59882736,12.54901981,-,-,1.96078432,22
Thu Sep 26 19:19:36 GMT+02:00 2019,26-set-2019 19:19:35.195,14.24726694,41.59881596,0.68,521.5684204101561,-0.43208313,8.46653748,3.44689941,12.29585552,8.13265228,118.15881348,41.59881592,17.25490189,-,-,4.70588255,22
Thu Sep 26 19:19:38 GMT+02:00 2019,26-set-2019 19:19:37.445,14.24734286,41.5988181,3.41,522.5040283203125,0.63574219,9.20874023,1.42379761,12.26939011,8.15019512,118.15881348,41.59881973,7.84313726,-,-,10.1960783,22
Thu Sep 26 19:19:41 GMT+02:00 2019,26-set-2019 19:19:40.189,14.24751334,41.59884793,5.53,520.289794921875,-0.76727295,8.32766724,4.86427307,12.24794197,8.16446686,118.15881348,41.59884644,13.33333397,-,-,3.13725495,22
Thu Sep 26 19:19:43 GMT+02:00 2019,26-set-2019 19:19:41.860,14.24763461,41.59889177,5.27,520.1998291015625,-0.46081543,7.83447266,4.4261322,12.25052071,8.16274834,120.14424896,41.59889221,14.11764717,-,-,3.52941179,22
Thu Sep 26 19:19:45 GMT+02:00 2019,26-set-2019 19:19:43.640,14.2476775,41.5989797,5.48,521.6456909179689,-1.31314087,7.84403992,5.28564453,12.26722813,8.15163136,120.63642883,41.59897995,14.50980377,-,-,4.31372547,22
Thu Sep 26 19:19:46 GMT+02:00 2019,26-set-2019 19:19:45.186,14.24762855,41.5990369,5.69,521.27587890625,-1.49749756,8.246261599999999,4.93370056,12.273970599999998,8.14715385,121.95633698,41.59903717,16.86274529,-,-,7.05882359,22
Thu Sep 26 19:19:50 GMT+02:00 2019,26-set-2019 19:19:48.834,14.24734036,41.59912796,6.55,519.88427734375,1.74185181,8.91664124,2.38388062,12.26441288,8.15350246,126.2417984,41.59912872,20.3921566,-,-,6.66666698,22
Thu Sep 26 19:19:51 GMT+02:00 2019,26-set-2019 19:19:50.430,14.24727475,41.59916648,6.87,520.0623779296875,1.40188599,8.097824099999999,4.27529907,12.2721796,8.14834213,127.27185822,41.59916687,7.84313726,-,-,0,22
Thu Sep 26 19:19:53 GMT+02:00 2019,26-set-2019 19:19:52.026,14.24715593,41.59924906,6.65,520.188232421875,1.36836243,8.17204285,4.56500244,12.26429749,8.15357876,130.78309631,41.59925079,7.84313726,-,-,0,22
Thu Sep 26 19:19:55 GMT+02:00 2019,26-set-2019 19:19:53.570,14.24705349,41.59931115,5.28,521.3831176757811,0.47293091,8.89509583,3.10932922,12.26739502,8.15152073,128.00047302,41.59931183,17.64705849,-,-,8.23529434,22
Thu Sep 26 19:19:56 GMT+02:00 2019,26-set-2019 19:19:54.887,14.24699116,41.59934283,5.47,520.1643676757811,0.97093201,8.56948853,3.4828186000000003,12.27048492,8.14946747,126.31530762,41.59934235,14.50980377,-,-,5.49019623,22
Thu Sep 26 19:19:57 GMT+02:00 2019,26-set-2019 19:19:56.529,14.24694547,41.59938371,5.46,520.2518310546875,0.75544739,8.50006104,3.26255798,12.27089119,8.14919758,128.07922363,41.59938431,15.68627453,-,-,0,22
Thu Sep 26 19:19:59 GMT+02:00 2019,26-set-2019 19:19:58.038,14.2468369,41.59944276,5.45,520.8048095703125,1.05471802,8.56948853,3.47802734,12.27396679,8.14715576,125.51764679,41.59944153,14.90196133,-,-,5.49019623,22
Thu Sep 26 19:20:00 GMT+02:00 2019,26-set-2019 19:19:59.524,14.24678399,41.59946838,5.86,521.0923461914061,1.24147034,8.14331055,3.99278259,12.27395344,8.1471653,127.28373718,41.59946823,11.37254906,-,-,0,22
Thu Sep 26 19:20:02 GMT+02:00 2019,26-set-2019 19:20:01.277,14.24666958,41.59950958,5.51,520.152099609375,1.20315552,8.35879517,3.51634216,12.27701378,8.14513397,126.00284576,41.59951019,14.50980377,-,-,4.70588255,22
Thu Sep 26 19:20:04 GMT+02:00 2019,26-set-2019 19:20:03.532,14.24655637,41.59954966,5.48,519.2459106445311,1.21273804,8.50483704,3.91137695,12.29637909,8.132306100000001,126.1129837,41.59954834,12.15686321,-,-,0,22
Thu Sep 26 19:20:06 GMT+02:00 2019,26-set-2019 19:20:05.355,14.24644582,41.59960733,4.81,520.4950561523439,1.39709473,8.25823975,3.8946227999999996,12.29942989,8.13028908,123.77755737,41.59960556,7.84313726,-,-,0,22
Thu Sep 26 19:20:09 GMT+02:00 2019,26-set-2019 19:20:07.634,14.24630588,41.59968572,4.44,521.3106079101561,1.45933533,8.35879517,3.92814636,12.30247498,8.12827682,122.29942322,41.59968567,7.84313726,-,-,0,22
Thu Sep 26 19:20:10 GMT+02:00 2019,26-set-2019 19:20:09.434,14.24626512,41.59970007,4.25,521.235107421875,1.15287781,8.88551331,2.96087646,12.30551243,8.12627029,121.18467712,41.59970093,11.37254906,-,-,0,22
Thu Sep 26 19:20:12 GMT+02:00 2019,26-set-2019 19:20:11.106,14.24619875,41.59973191,3.96,520.9490356445311,1.08345032,8.23190308,3.59773254,12.33531857,8.10663414,120.95983124,41.59973145,15.29411793,-,-,5.49019623,22
