GPS Time,Device Time,Longitude,Latitude,GPS Speed (Meters/second),Altitude,G(x),G(y),G(z),Kilometers Per Litre(Instant)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Actual engine % torque(%),Trip Distance(km),Engine RPM(rpm),GPS Accuracy(m),GPS Altitude(m),GPS Latitude(°),GPS Longitude(°)
Tue Sep 24 11:09:55 GMT+02:00 2019,24-set-2019 11:09:54.201,14.25604442,41.60168421,28.47,520.5744018554689,2.78573608,8.73228455,2.28572083,13.304245000000002,7.51624155,322.12823486,41.60168457,64.70588684,-,-,0,22
Tue Sep 24 11:09:56 GMT+02:00 2019,24-set-2019 11:09:55.600,14.25635163,41.60178113,28.4,520.0811157226561,2.97247314,9.24943542,1.7230835,13.29750443,7.52005148,317.67355347,41.60177994,65.09803772,-,-,60.7843132,21
Tue Sep 24 11:09:58 GMT+02:00 2019,24-set-2019 11:09:57.088,14.25702044,41.60193447,28.92,520.2868041992189,3.96606445,7.69799805,1.49084473,13.27453041,7.53306627,317.96936035,41.60193634,65.09803772,-,-,60.7843132,21
Tue Sep 24 11:09:59 GMT+02:00 2019,24-set-2019 11:09:58.462,14.25736791,41.60195947,29.04,520.7384033203125,2.41702271,8.0068512,5.00552368,13.25143242,7.54619694,318.36444092,41.60195923,7.84313726,-,-,0,22
Tue Sep 24 11:10:00 GMT+02:00 2019,24-set-2019 11:09:59.835,14.25769632,41.60198208,27.58,522.2550659179689,2.50799561,6.77862549,7.14355469,13.25729561,7.54285955,305.62988281,41.60198212,7.84313726,-,-,0,21
Tue Sep 24 11:10:02 GMT+02:00 2019,24-set-2019 11:10:01.202,14.25820172,41.602010799999995,19.52,525.15234375,-0.70741272,8.37077332,5.47239685,13.26313591,7.53953838,293.87487793,41.60201263,7.84313726,-,-,0,22
Tue Sep 24 11:10:03 GMT+02:00 2019,24-set-2019 11:10:02.566,14.25840646,41.60205217,18.49,524.274658203125,-2.33067322,9.04592896,3.86349487,13.26895332,7.53623295,282.9906311,41.60205078,30.58823586,-,-,21.96078491,22
Tue Sep 24 11:10:04 GMT+02:00 2019,24-set-2019 11:10:03.878,14.25860388,41.60211134,17.19,525.605712890625,-2.93641663,9.2350769,3.98799133,13.27474785,7.53294325,275.15472412,41.60211182,29.41176605,-,-,23.13725471,21
Tue Sep 24 11:10:06 GMT+02:00 2019,24-set-2019 11:10:05.068,14.25887959,41.60226459,14.0,526.22998046875,-4.32266235,8.67962646,3.70547485,13.24130154,7.55197048,282.00491333,41.6022644,34.50980377,-,-,22.35294151,21
Tue Sep 24 11:10:07 GMT+02:00 2019,24-set-2019 11:10:06.438,14.25898766,41.60238265,13.48,525.794189453125,-5.21090698,8.54554749,4.02391052,13.20783806,7.57110453,288.60223389,41.60238266,37.64706039,-,-,31.37254906,21
Tue Sep 24 11:10:08 GMT+02:00 2019,24-set-2019 11:10:07.808,14.25893399,41.60256365,13.03,526.2293701171875,-2.47193909,8.43061829,3.33198547,13.17209816,7.59164667,296.64736938,41.60256195,65.09803772,-,-,60.7843132,21
Tue Sep 24 11:10:10 GMT+02:00 2019,24-set-2019 11:10:09.174,14.25880427,41.60287169,14.36,526.18017578125,-2.5222168,8.62695312,2.79568481,13.13550472,7.61279631,305.16891479,41.60287094,65.09803772,-,-,60.7843132,21
Tue Sep 24 11:10:11 GMT+02:00 2019,24-set-2019 11:10:10.680,14.25862054,41.60307535,17.95,527.499267578125,3.36752319,8.39231873,1.4597168,13.09858513,7.634253500000001,313.74685669,41.60307693,65.09803772,-,-,60.7843132,21
Tue Sep 24 11:10:13 GMT+02:00 2019,24-set-2019 11:10:12.049,14.258285699999998,41.60340191,19.77,530.21923828125,0.58306885,8.31091309,1.42619324,13.06246948,7.6553607,321.38800049,41.60340118,65.09803772,-,-,60.7843132,21
Tue Sep 24 11:10:14 GMT+02:00 2019,24-set-2019 11:10:13.102,14.25813691,41.60355772,20.23,531.64306640625,0.8919219999999999,9.26620483,1.9912261999999998,13.06800461,7.65211821,312.20547485,41.60355759,65.09803772,-,-,61.17647171,21
Tue Sep 24 11:10:15 GMT+02:00 2019,24-set-2019 11:10:14.259,14.257961800000002,41.60371504,21.07,535.6044921875,1.62454224,8.21994019,1.5794219999999999,13.03958797,7.66879463,315.13409424,41.60371399,65.09803772,-,-,61.17647171,21
Tue Sep 24 11:10:16 GMT+02:00 2019,24-set-2019 11:10:15.413,14.25778429,41.60388774,21.56,534.9609375,0.38433838,7.95896912,1.61294556,13.01109791,7.68558645,318.03799438,41.60388947,65.09803772,-,-,61.17647171,21
Tue Sep 24 11:10:17 GMT+02:00 2019,24-set-2019 11:10:16.624,14.25760074,41.60404545,22.2,533.7860107421875,2.86952209,8.26303101,5.93447876,12.98313999,7.70213652,320.66589355,41.60404587,7.84313726,-,-,0,21
Tue Sep 24 11:10:18 GMT+02:00 2019,24-set-2019 11:10:17.837,14.25743847,41.60420825,22.52,535.95068359375,4.83755493,7.31971741,4.20826721,12.9725914,7.70839977,318.93270874,41.6042099,7.84313726,-,-,0,21
Tue Sep 24 11:10:20 GMT+02:00 2019,24-set-2019 11:10:19.174,14.25714886,41.60449922,19.76,535.12890625,4.91416931,8.96931458,1.33282471,12.97797394,7.70520258,310.9593811,41.60449982,32.94117737,-,-,26.27450943,21
Tue Sep 24 11:10:21 GMT+02:00 2019,24-set-2019 11:10:20.279,14.25711398,41.60467361,18.43,534.2684326171875,6.12084961,8.28936768,1.00721741,12.98333645,7.70202017,303.375,41.60467529,26.27450943,-,-,17.64705849,21
Tue Sep 24 11:10:22 GMT+02:00 2019,24-set-2019 11:10:21.449,14.25706222,41.60483374,17.71,535.1064453125,6.05860901,8.48329163,1.08383179,12.98678589,7.69997454,300.70812988,41.60483551,25.49019623,-,-,16.86274529,21
Tue Sep 24 11:10:23 GMT+02:00 2019,24-set-2019 11:10:22.508,14.25704794,41.60498928,17.38,535.734375,7.26766968,8.18881226,-0.32395935,12.98260784,7.70245266,298.85476685,41.6049881,21.17647171,-,-,11.76470566,21
Tue Sep 24 11:10:24 GMT+02:00 2019,24-set-2019 11:10:23.954,14.25711208,41.60516415,17.57,536.5224609375,6.59968567,8.09303284,1.54112244,13.00231934,7.69077587,295.43743896,41.60516357,23.92156982,-,-,14.90196133,21
Tue Sep 24 11:10:26 GMT+02:00 2019,24-set-2019 11:10:25.410,14.25737818,41.60542612,16.7,537.702392578125,7.20303345,9.18000793,0.02079773,13.03142548,7.67359781,291.78729248,41.60542679,61.17647171,-,-,49.80392075,21
Tue Sep 24 11:10:27 GMT+02:00 2019,24-set-2019 11:10:26.471,14.25756222,41.60553247,16.53,538.55859375,3.13768005,8.43780518,3.09016418,13.00366592,7.68997908,294.756073,41.6055336,7.84313726,-,-,49.01960754,21
Tue Sep 24 11:10:28 GMT+02:00 2019,24-set-2019 11:10:27.706,14.25777098,41.605543100000006,16.13,538.39892578125,2.12014771,8.73228455,1.67997742,12.97775555,7.70533228,297.03973389,41.60554123,64.70588684,-,-,60.7843132,21
Tue Sep 24 11:10:29 GMT+02:00 2019,24-set-2019 11:10:28.788,14.25816135,41.60556741,22.54,538.52587890625,1.24147034,9.26860046,2.25698853,12.95146942,7.72097111,299.41781616,41.60556793,64.70588684,-,-,60.7843132,21
Tue Sep 24 11:10:31 GMT+02:00 2019,24-set-2019 11:10:30.069,14.25872099,41.60567873,24.93,537.4512939453125,1.15527344,8.47850037,3.94010925,12.92457199,7.73703909,301.97561646,41.60567856,7.84313726,-,-,9.8039217,21
Tue Sep 24 11:10:32 GMT+02:00 2019,24-set-2019 11:10:31.231,14.25902675,41.60571662,25.32,538.136474609375,1.94297791,9.89587402,1.88827515,12.91860104,7.74061537,300.56585693,41.60571671,65.09803772,-,-,60.7843132,21
Tue Sep 24 11:10:33 GMT+02:00 2019,24-set-2019 11:10:32.613,14.2593242,41.60577315,26.21,538.5159912109375,1.89508057,9.21592712,2.24501038,12.89904594,7.75234985,301.16259766,41.60577393,65.09803772,-,-,61.17647171,21
Tue Sep 24 11:10:34 GMT+02:00 2019,24-set-2019 11:10:33.981,14.25965637,41.60582461,26.8,538.7733154296875,1.45455933,9.2973175,2.18994141,12.87981701,7.76392412,301.7020874,41.60582352,65.09803772,-,-,61.17647171,21
Tue Sep 24 11:10:36 GMT+02:00 2019,24-set-2019 11:10:35.353,14.26029532,41.60593729,27.08,541.887451171875,1.46173096,8.97650146,2.92736816,12.86133099,7.77508354,302.1071167,41.60593796,65.09803772,-,-,61.17647171,21
Tue Sep 24 11:10:37 GMT+02:00 2019,24-set-2019 11:10:36.722,14.26060427,41.60600133,26.96,542.202880859375,1.61735535,9.65884399,2.5969696,12.84357738,7.785830499999999,302.38955688,41.60600281,65.09803772,-,-,60.7843132,21
Tue Sep 24 11:10:39 GMT+02:00 2019,24-set-2019 11:10:38.092,14.26127456,41.60615907,28.38,546.168212890625,0.74586487,9.40266418,2.460495,12.82641888,7.79624605,302.58197021,41.60615921,65.09803772,-,-,61.17647171,21
